BidangUsaha,JumlahAset,Lokasi,MataUang,Nama,Persentase,Satuan,StatusOperasi,TahunKomersil,KodeEmiten,NamaEmiten
KELAPA SAWIT,596853,KALIMANTAN TENGAH,IDR,PT AGRO MENARA RACHMAT,99.99,JUTAAN,AKTIF,1998,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,1065236,SULAWESI TENGAH,IDR,PT AGRO NUSA ABADI,99.99,JUTAAN,AKTIF,2012,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,477613,KALIMANTAN TENGAH,IDR,PT BHADRA CEMERLANG,99.99,JUTAAN,AKTIF,2010,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,120365,SULAWESI BARAT,IDR,PT BHADRA SUKSES,99.8,JUTAAN,AKTIF,1997,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,1019697,KALIMANTAN TIMUR,IDR,PT BORNEO INDAH MARJAYA,99.99,JUTAAN,AKTIF,2011,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,44840,KALIMANTAN SELATAN,IDR,PT CAKRADENTA AGUNG PERTIWI,99.99,JUTAAN,AKTIF,2000,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,41154,KALIMANTAN SELATAN,IDR,PT CAKUNG PERMATA NUSA,99.99,JUTAAN,AKTIF,1999,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,395875,SULAWESI TENGAH,IDR,PT CIPTA AGRO NUSANTARA,99.99,JUTAAN,AKTIF,2012,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,126011,KALIMANTAN TIMUR,IDR,PT CIPTA NARADA LESTARI,99.99,JUTAAN,AKTIF,2011,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,1497107,RIAU,IDR,PT EKA DURA INDONESIA,99.99,JUTAAN,AKTIF,1994,AALI,ASTRA AGRO LESTARI TBK
LAINNYA,13259,RIAU,IDR,PT EKA DURA PERDANA,99.99,JUTAAN,AKTIF,1992,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,597184,KALIMANTAN TENGAH,IDR,PT GUNUNG SEJAHTERA DUA INDAH,95.0,JUTAAN,AKTIF,1998,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,733640,KALIMANTAN TENGAH,IDR,PT GUNUNG SEJAHTERA IBU PERTIWI,99.99,JUTAAN,AKTIF,1997,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,686955,KALIMANTAN TENGAH,IDR,PT GUNUNG SEJAHTERA PUTI PESONA,95.0,JUTAAN,AKTIF,1999,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,21972,KALIMANTAN TENGAH,IDR,PT GUNUNG SEJAHTERA RAMAN PERMAI,99.99,JUTAAN,AKTIF,2022,AALI,ASTRA AGRO LESTARI TBK
