Nama,indegree,outdegree,betweenness,closeness,pagerank,cluster_sna
3VIEWCOM INC,1.0,0.0,0.0,0.16,0.16,1
A HARTRODT MALAYSIA SDN BHD,0.0,1.0,0.0,0.13,0.15,1
A1 DISTRIBUTION SDN BHD MALAYSIA,1.0,0.0,0.0,0.16,0.15,1
AA LAND PTE LTD,0.0,1.0,0.0,0.16,0.15,1
AADL HOUSING MINISTRY OF ALGERIA,1.0,0.0,0.0,0.2,0.15,1
AASTAR TRADING PTE LTD,1.0,0.0,0.0,0.18,0.16,1
AB FOOD & BEVERAGES (THAILAND) LTD,1.0,0.0,0.0,0.15,0.16,1
ABADI INVESTMENT PTE LTD,0.0,1.0,0.0,0.14,0.15,1
ABELL TECHNOLOGY GLOBAL PTE LTD,0.0,1.0,0.0,0.18,0.15,1
ABM INVESTAMA TBK,3.0,69.0,1210852.62,0.23,0.34,2
ACE DISTRIBUTORS FZE,1.0,0.0,0.0,0.51,0.17,0
ACEI SINGAPORE HOLDINGS PRIVATE LTD,0.0,1.0,0.0,0.14,0.15,1
ACHILLES TIRES USA INC,1.0,0.0,0.0,0.13,0.19,1
ADANI GLOBAL FZE,3.0,0.0,16362.28,0.19,0.16,1
ADANI GLOBAL PTE LTD,2.0,0.0,1142.01,0.2,0.16,1
ADARO INTERNATIONAL (SINGAPORE) PTE LTD,1.0,0.0,0.0,0.15,0.16,1
ADARO SOLAR INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.16,1
ADARO STRATEGIC INVESTMENT,0.0,1.0,0.0,0.15,0.15,1
ADI SARANA ARMADA TBK,2.0,18.0,158428.1,0.18,0.34,1
ADIMITRA ENERGI HIDRO,0.0,1.0,0.0,0.17,0.15,1
ADIMITRA RESOURCES PTE LTD,1.0,0.0,0.0,0.17,0.17,1
ADIRA DINAMIKA MULTI FINANCE TBK,4.0,1.0,37739.2,0.18,0.36,1
ADITYAA ENERGY RESOURCES PTE LTD,1.0,0.0,0.0,0.19,0.15,1
ADRINDO (SHANGHAI) CO LTD,1.0,0.0,0.0,0.39,0.16,0
AEGIS ENERGY TRADING PTE LTD,2.0,0.0,0.0,0.2,0.17,1
AEROTECH SUPPORTS PTE LTD,1.0,0.0,0.0,0.15,0.17,1
AGARWAL COAL CORPORATION PVT LTD,1.0,0.0,0.0,0.19,0.15,1
AGC ASIA PACIFIC PTE LTD,1.0,0.0,0.0,0.52,0.17,0
AGC AUTOMOTIVE (THAILAND) CO LTD,1.0,0.0,0.0,0.52,0.17,0
AGC AUTOMOTIVE (VIETNAM) CO LTD,1.0,0.0,0.0,0.52,0.17,0
AGC AUTOMOTIVE CHINA CO LTD,1.0,0.0,0.0,0.52,0.17,0
AGC AUTOMOTIVE MALAYSIA SDN BHD,1.0,0.0,0.0,0.52,0.17,0
AGC AUTOMOTIVE PHILIPPINES INC,1.0,0.0,0.0,0.52,0.17,0
AGC INC,1.0,1.0,0.0,0.52,0.17,0
AGC SODA CORPORATION,1.0,0.0,0.0,0.52,0.17,0
AGC TECHNOLOGY SOLUTIONS (KUNSHAN) CO LTD,1.0,0.0,0.0,0.52,0.17,0
AGC TECHNOLOGY SOLUTIONS CO LTD,1.0,0.0,0.0,0.52,0.17,0
AGODA COMPANY PTE LTD,1.0,0.0,0.0,0.16,0.16,1
AGRI INTERNATIONAL RESOURCES PTE LTD,1.0,0.0,0.0,0.15,0.16,1
AGRI INVESTMENTS PTE LTD,2.0,0.0,0.0,0.19,0.18,1
AGRI OILS PACKAGING SDN BHD,1.0,0.0,0.0,0.12,0.16,1
AGRI OILS PTE LTD,1.0,0.0,0.0,0.15,0.16,1
AGRI RESOURCES B.V,1.0,0.0,0.0,0.15,0.16,1
AGRICO INTERNATIONAL,1.0,0.0,0.0,0.16,0.17,1
AHCOF INTERNATIONAL DEVELOPMENT CO LTD,1.0,0.0,0.0,0.17,0.16,1
AHUMADOS NOUREUGOS SA DE CV,1.0,0.0,0.0,0.12,0.16,1
AIDO HEALTH PTE LTD,1.0,0.0,0.0,0.14,0.15,1
AIRASIA AVIATION GROUP LIMITED,0.0,1.0,0.0,0.56,0.15,0
AIRPORTS AUTHORITY OF INDIA,1.0,0.0,0.0,0.18,0.15,1
AJB BUMIPUTERA 1912,0.0,1.0,0.0,0.14,0.15,1
AKASHA WIRA INTERNATIONAL TBK,2.0,0.0,9890.0,0.21,0.28,1
AKSBERG MARINE CONSULTANT PTE LTD,1.0,0.0,0.0,0.16,0.16,1
AL AKHYAR CONTRACTING & MAINTENANCE COMPANY,1.0,0.0,0.0,0.18,0.16,1
ALAKASA COMPANY LIMITED,1.0,0.0,0.0,0.15,0.17,1
ALAKASA INDUSTRINDO TBK,1.0,12.0,103743.77,0.17,0.21,1
ALAM SUTERA REALTY TBK,3.0,15.0,161160.21,0.16,0.45,2
ALAM SYNERGY PRIVATE LIMITED,1.0,0.0,0.0,0.14,0.18,1
ALAMTRI RESOURCES INDONESIA TBK,2.0,40.0,309342.77,0.18,0.4,2
ALATAS WORLDWIDE LIMITED,0.0,1.0,0.0,0.14,0.15,1
ALBIZIA ASEAN OPPORTUNITIES FUND,0.0,1.0,0.0,0.14,0.15,1
ALFA INTERNATIONAL SEAFOOD INC,1.0,0.0,0.0,0.12,0.16,1
ALFAMART RETAIL ASIA PTE LTD,1.0,0.0,0.0,0.16,0.19,1
ALIM BROTHERS INDUSTRIES PTE LTD,1.0,0.0,0.0,0.17,0.25,1
ALKINDO NARATAMA TBK,1.0,24.0,314598.4,0.19,0.28,2
ALLIANCE COSMETICS SDN BHD,1.0,0.0,0.0,0.51,0.17,0
ALLIED HILL LIMITED,0.0,1.0,0.0,0.14,0.15,1
ALLIED TELESIS INTERNATIONAL (ASIA) PTE LTD,1.0,0.0,0.0,0.13,0.18,1
ALLNEX NEW ZEALAND LTD,1.0,0.0,0.0,0.16,0.16,1
ALLNEX RESINS AUSTRALIA PTY LTD,1.0,0.0,0.0,0.16,0.16,1
ALPHA HOLDING CELLA PTE LTD,1.0,0.0,0.0,0.14,0.15,1
ALPHA INVESTMENTS PARTNERS LIMITED,1.0,0.0,0.0,0.17,0.16,1
ALPHA OMEGA INVESTMENTS PTE LTD,1.0,0.0,0.0,0.16,0.16,1
ALPHA PRIME SERVICES PTE LTD,1.0,0.0,0.0,0.18,0.15,1
ALSYNITE ONE NZ LIMITED,1.0,0.0,0.0,0.16,0.16,1
ALUMINDO LIGHT METAL INDUSTRY TBK,9.0,6.0,115744.51,0.21,0.7,2
AMACORE BV,1.0,0.0,0.0,0.12,0.16,1
AMERICAN ANTHRACITE GROUP LLC,1.0,0.0,0.0,0.17,0.16,1
AMERICAN ANTHRACITE HOLDINGS LLC,1.0,0.0,0.0,0.17,0.16,1
AMERICAN ANTHRACITE SPV I LLC,1.0,0.0,0.0,0.17,0.16,1
"AMERICAN CARBON WAREHOUSING, LLC",1.0,0.0,0.0,0.17,0.16,1
ANA MOTOR SEVICE CO LTD,1.0,0.0,0.0,0.18,0.15,1
ANCORA INDONESIA RESOURCES TBK,4.0,40.0,435387.61,0.2,0.61,2
ANDERSON BAY PTE LTD,0.0,1.0,0.0,0.17,0.15,1
ANDERSON INVESTMENT PTE LTD,0.0,1.0,0.0,0.14,0.15,1
ANEKA TAMBANG TBK,10.0,49.0,1177249.13,0.23,0.49,2
ANEMI MARITIME CO LTD,1.0,0.0,0.0,0.13,0.16,1
ANGLO THAI EXPORTS CO LTD,1.0,0.0,0.0,0.12,0.16,1
ANGLOTHAI,1.0,0.0,0.0,0.12,0.16,1
ANN TAYLOR SOURCING FAR EAST LTD,1.0,0.0,0.0,0.37,0.16,1
ANSAT BROADCAST SDN BHD,1.0,0.0,0.0,0.15,0.16,1
ANSUN INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.17,1
ANTENNA ENTERTAINMENTS SDN BHD,1.0,0.0,0.0,0.15,0.17,1
APAC INVESTMENT 2 PTE LTD,0.0,1.0,0.0,0.67,0.15,0
APACHEE PTE LTD,1.0,0.0,0.0,0.16,0.16,1
APEX FIBER RESOURCES AND TRADING FZCO,1.0,0.0,0.0,0.14,0.17,1
APEXINDO PRATAMA DUTA TBK,4.0,7.0,140311.78,0.18,0.66,2
APL REALTY HOLDINGS PTE LTD,1.0,0.0,0.0,0.14,0.16,1
APPLE MALAYSIA SDN BHD,1.0,0.0,0.0,0.16,0.15,1
APPLE SOUTH ASIA PTE LTD,2.0,0.0,7434.06,0.17,0.19,1
AQUA STAR CORPORATION,2.0,0.0,30934.53,0.16,0.19,1
AQUANUS MARITIME PTE LTD,1.0,0.0,0.0,0.14,0.17,1
AR SHOP,1.0,0.0,0.0,0.13,0.16,1
ARAMCO ASIA JAPAN KK,1.0,0.0,0.0,0.16,0.16,1
ARCELIK HITACHI HOME APPL,1.0,0.0,0.0,0.14,0.17,1
ARCHER DANIELS MIDLAND COMPANY,1.0,0.0,0.0,0.16,0.16,1
ARCHIPELAGO INVESTMENT PRIVATE LIMITED,0.0,1.0,0.0,0.17,0.15,1
ARCHIPELAGO RESOURCES PTE LTD,1.0,0.0,0.0,0.15,0.17,1
ARCHIPELAGO RUBBER TRADING PTE LTD,1.0,0.0,0.0,0.14,0.16,1
ARCHROMA SINGAPORE PTE LTD,1.0,0.0,0.0,0.16,0.16,1
ARES ASIA RESOURCES PTE LTD,1.0,0.0,0.0,0.19,0.15,1
ARES TRADING SA,1.0,0.0,0.0,0.17,0.16,1
ARGHA KARYA PRIMA IND. TBK,3.0,1.0,6.0,1.0,0.53,0
ARGO PANTES TBK,6.0,11.0,152587.58,0.16,0.77,2
ARITA ENGINEERING SDN BHD,0.0,1.0,0.0,0.15,0.15,1
ARITA VALVE (TIANJIN) CO LTD,1.0,0.0,0.0,0.15,0.16,1
ARNOLD SUHR NETHERLANDS BV,1.0,0.0,0.0,0.19,0.16,1
ARTHA PERDANA INVESTAMA,0.0,1.0,0.0,0.15,0.15,1
ARTHAVEST TBK,0.0,3.0,19779.0,0.11,0.15,1
