Nama,cluster_fastrp_256
3VIEWCOM INC,1
A HARTRODT MALAYSIA SDN BHD,0
A1 DISTRIBUTION SDN BHD MALAYSIA,0
AA LAND PTE LTD,2
AADL HOUSING MINISTRY OF ALGERIA,1
AASTAR TRADING PTE LTD,2
AB FOOD & BEVERAGES (THAILAND) LTD,1
ABADI INVESTMENT PTE LTD,2
ABELL TECHNOLOGY GLOBAL PTE LTD,2
ABM INVESTAMA TBK,1
ACE DISTRIBUTORS FZE,1
ACEI SINGAPORE HOLDINGS PRIVATE LTD,2
ACHILLES TIRES USA INC,2
ADANI GLOBAL FZE,1
ADANI GLOBAL PTE LTD,1
ADARO INTERNATIONAL (SINGAPORE) PTE LTD,1
ADARO SOLAR INTERNATIONAL PTE LTD,1
ADARO STRATEGIC INVESTMENT,1
ADI SARANA ARMADA TBK,1
ADIMITRA ENERGI HIDRO,1
ADIMITRA RESOURCES PTE LTD,1
ADIRA DINAMIKA MULTI FINANCE TBK,0
ADITYAA ENERGY RESOURCES PTE LTD,1
ADRINDO (SHANGHAI) CO LTD,1
AEGIS ENERGY TRADING PTE LTD,1
AEROTECH SUPPORTS PTE LTD,0
AGARWAL COAL CORPORATION PVT LTD,1
AGC ASIA PACIFIC PTE LTD,1
AGC AUTOMOTIVE (THAILAND) CO LTD,1
AGC AUTOMOTIVE (VIETNAM) CO LTD,1
AGC AUTOMOTIVE CHINA CO LTD,1
AGC AUTOMOTIVE MALAYSIA SDN BHD,1
AGC AUTOMOTIVE PHILIPPINES INC,1
AGC INC,1
AGC SODA CORPORATION,1
AGC TECHNOLOGY SOLUTIONS (KUNSHAN) CO LTD,1
AGC TECHNOLOGY SOLUTIONS CO LTD,1
AGODA COMPANY PTE LTD,2
AGRI INTERNATIONAL RESOURCES PTE LTD,1
AGRI INVESTMENTS PTE LTD,1
AGRI OILS PACKAGING SDN BHD,2
AGRI OILS PTE LTD,1
AGRI RESOURCES B.V,1
AGRICO INTERNATIONAL,1
AHCOF INTERNATIONAL DEVELOPMENT CO LTD,2
AHUMADOS NOUREUGOS SA DE CV,1
AIDO HEALTH PTE LTD,2
AIRASIA AVIATION GROUP LIMITED,1
AIRPORTS AUTHORITY OF INDIA,1
AJB BUMIPUTERA 1912,1
AKASHA WIRA INTERNATIONAL TBK,1
AKSBERG MARINE CONSULTANT PTE LTD,0
AL AKHYAR CONTRACTING & MAINTENANCE COMPANY,2
ALAKASA COMPANY LIMITED,1
ALAKASA INDUSTRINDO TBK,1
ALAM SUTERA REALTY TBK,1
ALAM SYNERGY PRIVATE LIMITED,1
ALAMTRI RESOURCES INDONESIA TBK,1
ALATAS WORLDWIDE LIMITED,2
ALBIZIA ASEAN OPPORTUNITIES FUND,0
ALFA INTERNATIONAL SEAFOOD INC,1
ALFAMART RETAIL ASIA PTE LTD,0
ALIM BROTHERS INDUSTRIES PTE LTD,1
ALKINDO NARATAMA TBK,1
ALLIANCE COSMETICS SDN BHD,1
ALLIED HILL LIMITED,0
ALLIED TELESIS INTERNATIONAL (ASIA) PTE LTD,1
ALLNEX NEW ZEALAND LTD,1
ALLNEX RESINS AUSTRALIA PTY LTD,1
ALPHA HOLDING CELLA PTE LTD,0
ALPHA INVESTMENTS PARTNERS LIMITED,0
ALPHA OMEGA INVESTMENTS PTE LTD,1
ALPHA PRIME SERVICES PTE LTD,1
ALSYNITE ONE NZ LIMITED,1
ALUMINDO LIGHT METAL INDUSTRY TBK,1
AMACORE BV,1
AMERICAN ANTHRACITE GROUP LLC,2
AMERICAN ANTHRACITE HOLDINGS LLC,2
AMERICAN ANTHRACITE SPV I LLC,2
"AMERICAN CARBON WAREHOUSING, LLC",2
ANA MOTOR SEVICE CO LTD,1
ANCORA INDONESIA RESOURCES TBK,1
ANDERSON BAY PTE LTD,1
ANDERSON INVESTMENT PTE LTD,1
ANEKA TAMBANG TBK,1
ANEMI MARITIME CO LTD,1
ANGLO THAI EXPORTS CO LTD,1
ANGLOTHAI,1
ANN TAYLOR SOURCING FAR EAST LTD,2
ANSAT BROADCAST SDN BHD,0
ANSUN INTERNATIONAL PTE LTD,1
ANTENNA ENTERTAINMENTS SDN BHD,1
APAC INVESTMENT 2 PTE LTD,1
APACHEE PTE LTD,0
APEX FIBER RESOURCES AND TRADING FZCO,0
APEXINDO PRATAMA DUTA TBK,2
APL REALTY HOLDINGS PTE LTD,1
APPLE MALAYSIA SDN BHD,0
APPLE SOUTH ASIA PTE LTD,0
AQUA STAR CORPORATION,0
AQUANUS MARITIME PTE LTD,2
AR SHOP,1
ARAMCO ASIA JAPAN KK,2
ARCELIK HITACHI HOME APPL,0
ARCHER DANIELS MIDLAND COMPANY,0
ARCHIPELAGO INVESTMENT PRIVATE LIMITED,1
ARCHIPELAGO RESOURCES PTE LTD,1
ARCHIPELAGO RUBBER TRADING PTE LTD,2
ARCHROMA SINGAPORE PTE LTD,1
ARES ASIA RESOURCES PTE LTD,1
ARES TRADING SA,2
ARGHA KARYA PRIMA IND. TBK,0
ARGO PANTES TBK,1
ARITA ENGINEERING SDN BHD,1
ARITA VALVE (TIANJIN) CO LTD,1
ARNOLD SUHR NETHERLANDS BV,0
ARTHA PERDANA INVESTAMA,0
ARTHAVEST TBK,0
ARTRON INTERNATIONAL PTE LTD,1
ARVEE INTERNATIONAL PTE LTD,2
ARWANA CITRAMULIA TBK,0
ASAHI INDIA GLASS LTD,1
ASAHIMAS FLAT GLASS TBK,1
ASEAN MARITIME CORPORATION,0
ASIA AGRI INTERNATIONAL PTE LTD,1
ASIA LOGIC SDN BHD,2
ASIA MEDICAL ENVIRO SERVICES PTE LTD,1
ASIA PACIFIC FIBERS TBK,0
ASIA PACIFIC NICKEL PTY LTD,1
ASIA PARAMITA INDAH,1
ASIA RECYCLING RESOURCES PTE LTD,1
ASIA RETAIL INVESTMENT PTE LTD,2
ASIAN SYNERGIES LIMITED,1
ASIANA SENOPATI,1
ASIAPLAST INDUSTRIES TBK,0
ASIAWIDE RESOURCES LTD,1
ASICOAL TRADING PTE LTD,1
ASTEEM PRODUCTS PTE LTD,1
ASTRA AGRO LESTARI,1
ASTRA AGRO LESTARI TBK,2
ASTRA GRAPHIA TBK,1
ASTRA INTERNATIONAL TBK,1
ASTRA OTOPARTS TBK,1
ASTRA-KLK PTE LTD,2
ASTRIA PACKAGING PTE LTD,1
ASURANSI BINA DANA ARTA TBK,1
ASURANSI BINTANG TBK,1
ASURANSI DAYIN MITRA TBK,0
ASURANSI HARTA AMAN PRATAMA TBK,1
ASURANSI JASA TANIA TBK,1
ASURANSI MULTI ARTHA GUNA TBK,0
ASURANSI RAMAYANA TBK,1
ASUS GLOBAL PTE LTD,1
ASUS INVESTMENT CO LTD,1
ASUSTEK COMPUTER INC,1
ATHLETICA INTERNATIONAL HOLDINGS PTE LTD,2
"ATLANTIC CARBON GROUP, INC",2
ATLAS RESOURCES TBK,1
AUGUSTA INVESTMENTS I PTE LTD,2
AURIC DIGITAL RETAIL PTE LTD,0
AURORA EQUITY PTE LTD,1
AUSWASTE RECYCLING PTY LTD,1
AUTOGLASS CO LTD,1
AUTOPEDIA SUKSES LESTARI,1
AVRA COMMODITIES PTE LTD,1
AVRA INTERNATIONAL DMCC,1
AXIA POWER HOLDINGS BV,1
AXIATA,0
