Nama,cluster_node2vec_256
3VIEWCOM INC,2
A HARTRODT MALAYSIA SDN BHD,1
A1 DISTRIBUTION SDN BHD MALAYSIA,1
AA LAND PTE LTD,2
AADL HOUSING MINISTRY OF ALGERIA,2
AASTAR TRADING PTE LTD,2
AB FOOD & BEVERAGES (THAILAND) LTD,1
ABADI INVESTMENT PTE LTD,1
ABELL TECHNOLOGY GLOBAL PTE LTD,1
ABM INVESTAMA TBK,2
ACE DISTRIBUTORS FZE,0
ACEI SINGAPORE HOLDINGS PRIVATE LTD,0
ACHILLES TIRES USA INC,0
ADANI GLOBAL FZE,2
ADANI GLOBAL PTE LTD,2
ADARO INTERNATIONAL (SINGAPORE) PTE LTD,1
ADARO SOLAR INTERNATIONAL PTE LTD,2
ADARO STRATEGIC INVESTMENT,2
ADI SARANA ARMADA TBK,2
ADIMITRA ENERGI HIDRO,2
ADIMITRA RESOURCES PTE LTD,2
ADIRA DINAMIKA MULTI FINANCE TBK,1
ADITYAA ENERGY RESOURCES PTE LTD,2
ADRINDO (SHANGHAI) CO LTD,0
AEGIS ENERGY TRADING PTE LTD,2
AEROTECH SUPPORTS PTE LTD,1
AGARWAL COAL CORPORATION PVT LTD,2
AGC ASIA PACIFIC PTE LTD,0
AGC AUTOMOTIVE (THAILAND) CO LTD,0
AGC AUTOMOTIVE (VIETNAM) CO LTD,0
AGC AUTOMOTIVE CHINA CO LTD,0
AGC AUTOMOTIVE MALAYSIA SDN BHD,0
AGC AUTOMOTIVE PHILIPPINES INC,0
AGC INC,0
AGC SODA CORPORATION,0
AGC TECHNOLOGY SOLUTIONS (KUNSHAN) CO LTD,0
AGC TECHNOLOGY SOLUTIONS CO LTD,0
AGODA COMPANY PTE LTD,2
AGRI INTERNATIONAL RESOURCES PTE LTD,0
AGRI INVESTMENTS PTE LTD,1
AGRI OILS PACKAGING SDN BHD,0
AGRI OILS PTE LTD,2
AGRI RESOURCES B.V,0
AGRICO INTERNATIONAL,1
AHCOF INTERNATIONAL DEVELOPMENT CO LTD,1
AHUMADOS NOUREUGOS SA DE CV,0
AIDO HEALTH PTE LTD,0
AIRASIA AVIATION GROUP LIMITED,0
AIRPORTS AUTHORITY OF INDIA,2
AJB BUMIPUTERA 1912,0
AKASHA WIRA INTERNATIONAL TBK,1
AKSBERG MARINE CONSULTANT PTE LTD,2
AL AKHYAR CONTRACTING & MAINTENANCE COMPANY,2
ALAKASA COMPANY LIMITED,2
ALAKASA INDUSTRINDO TBK,2
ALAM SUTERA REALTY TBK,2
ALAM SYNERGY PRIVATE LIMITED,0
ALAMTRI RESOURCES INDONESIA TBK,2
ALATAS WORLDWIDE LIMITED,2
ALBIZIA ASEAN OPPORTUNITIES FUND,1
ALFA INTERNATIONAL SEAFOOD INC,0
ALFAMART RETAIL ASIA PTE LTD,1
