Nama,Jabatan,Afiliasi,KodeEmiten,NamaEmiten
DJAP TET FA,PRESIDENT DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
EKO PRASETYO,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
WIDAYANTO,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
TINGNING SUKOWIGNJO,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
ARIEF CATUR IRAWAN,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
BANDUNG SAHARI,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
VERONICA LUSI HERDIYANTI,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
RONNY WILIMAS SUGIADHA,PRESIDENT DIRECTOR,False,ABBA,MAHAKA MEDIA TBK
MUHAMMAD FADRI ATTAMIMI,DIRECTOR,False,ABBA,MAHAKA MEDIA TBK
JULIEN PIERRE COMBARET,DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
LIANI CHANDRA,DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
FENNI SUTANTO,DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
VINCENT CITIZEN SOEGIANTO,PRESIDENT DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
ACHMAD ANANDA DJAJANEGARA,PRESIDENT DIRECTOR,False,ABMM,ABM INVESTAMA TBK
HARIS MUSTARTO,DIRECTOR,False,ABMM,ABM INVESTAMA TBK
FERIWAN SINATRA,DIRECTOR,False,ABMM,ABM INVESTAMA TBK
HANS CHRISTIAN MANOE,DIRECTOR,False,ABMM,ABM INVESTAMA TBK
PRABOWO WIDYA KRISNADI,PRESIDENT DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
SUHARNO,DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
GREGORY SUGYONO WIDJAJA,DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
TERESA LUCIA WIBOWO,DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
IDOT SUPRIADI,PRESIDENT DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
DAVID WIDJAJA,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
SOEHARSONO TJATUR NUGROHO,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
TJATUR HARIPRIAMBODO,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
HASNANTO WAHYUDI,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
ACHMAD WACHID ABDULLAH,PRESIDENT DIRECTOR,False,ADCP,PT ADHI COMMUTER PROPERTI TBK
FARID BUDIYANTO,DIRECTOR,False,ADCP,PT ADHI COMMUTER PROPERTI TBK
WIHARDJO HADISEPUTRO,PRESIDENT DIRECTOR,False,ADES,AKASHA WIRA INTERNATIONAL TBK
FANY SOEGIARTO,DIRECTOR,False,ADES,AKASHA WIRA INTERNATIONAL TBK
ENTUS ASNAWI MUKHSON,PRESIDENT DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
KI SYAHGOLANG PERMATA,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
BANI IQBAL,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
A SUKO WIDIGDO,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
HARIMAWAN,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
VERA KIRANA,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
YAN ARIANTO,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
I DEWA MADE SUSILA,PRESIDENT DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
SWANDAJANI GUNADI,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
NIKO KURNIAWAN BONGGOWARSITO,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
HARRY LATIF,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
DENNY RIZA FARIB,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
SIGIT HENDRA GUNAWAN,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
SYLVANUS GANI K MENDROFA,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
TAKANORI MIZUNO,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
RICKY GUNAWAN,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
GAUTAMA HARTARTO,PRESIDENT DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
DJALI HALIM,VICE PRESIDEN DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
GUNAWAN HALIM,DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
DJUNALI DJUWATI,DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
WIJI SANTOSO,DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
IWAN DEWONO BUDIYUWONO,PRESIDENT DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
TOTOK AZHARIYANTO,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
HENDRI TAMRIN,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
HERI GUNAWAN,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
WITO KRISNAHADI,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
MOHAMMAD SYAH INDRA AMAN,DIRECTOR,False,ADRO,ALAMTRI RESOURCES INDONESIA TBK
IWAN DEWONO BUDIYUWONO,PRESIDENT DIRECTOR,False,ADRO,ALAMTRI RESOURCES INDONESIA TBK
LANY DJUWITA WONG,DIRECTOR,False,ADRO,ALAMTRI RESOURCES INDONESIA TBK
AGNES KRISTINA,DIRECTOR,False,AGAR,PT ASIA SEJAHTERA MINA TBK
INDRA WIDYADHARMA,PRESIDENT DIRECTOR,False,AGAR,PT ASIA SEJAHTERA MINA TBK
IDA BAGUS KETUT SUBAGIA,PRESIDENT DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
RUSTARTI SURI PERTIWI,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
DANAR WIDYANTORO,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
LUKMAN HAKIM,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
KICKY ANDRIE DAVETRA,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
ALEXANDER FRANS RORI,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
EDWIN RUDIANTO,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
OH IN TAEK,PRESIDENT DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
PARK JIN JE,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
ANDREAS MIKHAEL SUMUAL,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
YULIANTO PIETTOJO,PRESIDENT DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
JOSEF GUNAWAN SETYO,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
INDRADI PRASODJO,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
TREESJE HALIM,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
SUTJIANTA,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
CALVIN LUTVI,PRESIDENT DIRECTOR,False,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
PANDU ANDAKARA,DIRECTOR,False,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
M ADIL TRIANSYAH,DIRECTOR,False,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
GERRY MUSTIKA,PRESIDENT DIRECTOR,False,AISA,PT FKS FOOD SEJAHTERA TBK
SUKAWATI WIJAYA,DIRECTOR,False,AISA,PT FKS FOOD SEJAHTERA TBK
FARRY ONGKO WIDJAJA,DIRECTOR,False,AISA,PT FKS FOOD SEJAHTERA TBK
I GEDE ARIESUNDA,PRESIDENT DIRECTOR,False,AKKU,PT ANUGERAH KAGUM KARYA UTAMA TBK
IRWAN SURYADI,DIRECTOR,False,AKKU,PT ANUGERAH KAGUM KARYA UTAMA TBK
WILSON PRIBADI,PRESIDENT DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
JEYSON PRIBADI,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
JIMMY TJAHJANTO,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
ELIUS PRIBADI,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
