Jumlah,Kategori,Nama,Pengendali,Persentase,KodeEmiten,NamaEmiten
388200.0,More Than 5%,MAHENDRA AGAKHAN T,False,0.01,ABBA,MAHAKA MEDIA TBK
2200.0,Director,V CITIZEN SOEGIANTO,False,0.0,ABDA,ASURANSI BINA DANA ARTA TBK
500.0,Director,JULIEN PIERRE COMBARET,False,0.0,ABDA,ASURANSI BINA DANA ARTA TBK
500.0,Director,LIANI CHANDRA,False,0.0,ABDA,ASURANSI BINA DANA ARTA TBK
0.0,Commisioner,ARIEF TARUNAKARYA SUROWIDJOJO,False,0.0,ABMM,ABM INVESTAMA TBK
1283500.0,Director,ACHMAD ANANDA DJAJANEGARA,False,0.0466,ABMM,ABM INVESTAMA TBK
133500.0,Commisioner,MIVIDA HAMAMI,False,0.0048,ABMM,ABM INVESTAMA TBK
0.0,Director,HARIS MUSTARTO,False,0.0,ABMM,ABM INVESTAMA TBK
6120500.0,Commisioner,RACHMAT MULYANA HAMAMI,False,0.2223,ABMM,ABM INVESTAMA TBK
0.0,Commisioner,MANGGI TARUNA HABIR,False,0.0,ABMM,ABM INVESTAMA TBK
151206500.0,More Than 5%,LO KHENG HONG,False,5.492,ABMM,ABM INVESTAMA TBK
0.0,Director,FERIWAN SINATRA,False,0.0,ABMM,ABM INVESTAMA TBK
0.0,Director,HANS CHRISTIAN MANOE,False,0.0,ABMM,ABM INVESTAMA TBK
600000.0,Director,SUHARNO,False,0.0,ACES,PT ASPIRASI HIDUP INDONESIA TBK
94100.0,Director,GREGORY SUGYONO WIDJAJA,False,0.0,ACES,PT ASPIRASI HIDUP INDONESIA TBK
100000.0,Commisioner,KUNCORO WIBOWO,False,0.0,ACES,PT ASPIRASI HIDUP INDONESIA TBK
983000.0,Director,TERESA LUCIA WIBOWO,False,0.01,ACES,PT ASPIRASI HIDUP INDONESIA TBK
0.0,Commisioner,WENRY ANSHORY PUTRA,False,0.0,ADCP,PT ADHI COMMUTER PROPERTI TBK
0.0,Commisioner,YAN FIRWAN,False,0.0,ADCP,PT ADHI COMMUTER PROPERTI TBK
0.0,Director,ACHMAD WACHID ABDULLAH,False,0.0,ADCP,PT ADHI COMMUTER PROPERTI TBK
0.0,Director,FARID BUDIYANTO,False,0.0,ADCP,PT ADHI COMMUTER PROPERTI TBK
4000.0,Commisioner,NANA PUSPA DEWI,False,0.0007,ADES,AKASHA WIRA INTERNATIONAL TBK
7900.0,Director,FANY SOEGIARTO,False,0.0013,ADES,AKASHA WIRA INTERNATIONAL TBK
0.0,Director,GAUTAMA HARTARTO,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Director,DJALI HALIM,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Director,GUNAWAN HALIM,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Director,DJUNALI DJUWATI,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Director,WIJI SANTOSO,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Commisioner,BACELIUS RURU,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Commisioner,H ROSIHAN ARSYAD,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Commisioner,JOHAN SETIAWAN,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Commisioner,BAMBANG HUSODO,False,0.0,ADMG,POLYCHEM INDONESIA TBK
0.0,Commisioner,ILHAM,False,0.0,ADMG,POLYCHEM INDONESIA TBK
69000.0,Director,WITO KRISNAHADI,False,0.0,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
2800.0,Director,IWAN DEWONO BUDIYUWONO,False,0.0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
1976632710.0,Commisioner,GARIBALDI THOHIR,True,6.426,ADRO,ALAMTRI RESOURCES INDONESIA TBK
1051738544.0,Commisioner,EDWIN SOERYADJAYA,False,3.419,ADRO,ALAMTRI RESOURCES INDONESIA TBK
80106250.0,Commisioner,ARINI SARASWATY SUBIANTO,False,0.26,ADRO,ALAMTRI RESOURCES INDONESIA TBK
16000000.0,Commisioner,CHRISTIAN ARIANO RACHMAT,False,0.052,ADRO,ALAMTRI RESOURCES INDONESIA TBK
250000.0,Director,LANY DJUWITA,False,0.0,ADRO,ALAMTRI RESOURCES INDONESIA TBK
0.0,Director,INDRA WIDYADHARMA,False,0.0,AGAR,PT ASIA SEJAHTERA MINA TBK
0.0,Director,AGNES KRISTINA,False,0.0,AGAR,PT ASIA SEJAHTERA MINA TBK
0.0,Commisioner,FRANCIS DAYNE HARYONO,False,0.0,AGAR,PT ASIA SEJAHTERA MINA TBK
0.0,Commisioner,THELLY ROPE,False,0.0,AGAR,PT ASIA SEJAHTERA MINA TBK
8900.0,Commisioner,MUHAMAD SIDIK HERUWIBOWO,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Commisioner,RETNO WAHYUNI WIJAYANTI,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Commisioner,JOHANES KUNTJORO ADISARDJONO,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Commisioner,NYIMAS DEWI RATIH KAMIL,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Director,IDA BAGUS KETUT SUBAGIA,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Director,DANAR WIDYANTORO,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Director,RUSTARTI SURI PERTIWI,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
100000.0,Director,LUKMAN HAKIM,False,0.0004,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Director,KICKY ANDRIE DAVETRA,False,0.0,AGRO,PT BANK RAYA INDONESIA TBK
0.0,Commisioner,TAUFIK HAKIM,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Director,ALEXANDER FRANS RORI,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Commisioner,DAMAL BAYU UTAMA,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Commisioner,JONI SWASTANTO,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Director,EDWIN RUDIANTO,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Director,OH IN TAEK,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Commisioner,KO DAE JIN,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Director,PARK JIN JE,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
130865.0,Director,ANDREAS MIKHAEL SUMUAL,False,0.0,AGRS,PT BANK IBK INDONESIA TBK
0.0,Director,INDRADI PRASODJO,False,0.0,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
0.0,Director,JOSEF GUNAWAN SETYO,False,0.0,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
0.0,Director,TREESJE HALIM,False,0.0,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
0.0,Director,SUTJIANTA,False,0.0,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
