Nama,Jabatan,Independen,KodeEmiten,NamaEmiten
SANTOSA,PRESIDENT COMMISIONER,False,AALI,ASTRA AGRO LESTARI TBK
JOHANNES LOMAN,COMMISSIONER,False,AALI,ASTRA AGRO LESTARI TBK
RATNA WARDHANI,COMMISSIONER,True,AALI,ASTRA AGRO LESTARI TBK
ARIDONO SUKMANTO,COMMISSIONER,True,AALI,ASTRA AGRO LESTARI TBK
MARTIN SUHARLIE,COMMISSIONER,False,ABBA,MAHAKA MEDIA TBK
ALDO RAMBIE,PRESIDENT COMMISIONER,True,ABBA,MAHAKA MEDIA TBK
ABHISHEK BHATIA,PRESIDENT COMMISIONER,False,ABDA,ASURANSI BINA DANA ARTA TBK
KEVIN SOEDYATMIKO,COMMISSIONER,False,ABDA,ASURANSI BINA DANA ARTA TBK
HERWAN NG,COMMISSIONER,True,ABDA,ASURANSI BINA DANA ARTA TBK
FRANCISCO NORIEGA MALAVE,COMMISSIONER,True,ABDA,ASURANSI BINA DANA ARTA TBK
RACHMAT MULYANA HAMAMI,PRESIDENT COMMISIONER,False,ABMM,ABM INVESTAMA TBK
MIVIDA HAMAMI,COMMISSIONER,False,ABMM,ABM INVESTAMA TBK
ARIEF TARUNAKARYA SUROWIDJOJO,COMMISSIONER,True,ABMM,ABM INVESTAMA TBK
MANGGI TARUNA HABIR,COMMISSIONER,True,ABMM,ABM INVESTAMA TBK
HARTANTO DJASMAN,COMMISSIONER,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
TARUB,COMMISSIONER,True,ACES,PT ASPIRASI HIDUP INDONESIA TBK
MATHIUS SALEMPANG,COMMISSIONER,True,ACES,PT ASPIRASI HIDUP INDONESIA TBK
TARISA WIDYA KRISNADI,COMMISSIONER,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
KUNCORO WIBOWO,PRESIDENT COMMISIONER,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
FRANS KESUMA,PRESIDENT COMMISIONER,False,ACST,PT ACSET INDONUSA TBK
IWAN HADIANTORO,COMMISSIONER,False,ACST,PT ACSET INDONUSA TBK
VILIHATI SURYA,COMMISSIONER,False,ACST,PT ACSET INDONUSA TBK
PUTUT EKO BAYUSENO,COMMISSIONER,False,ACST,PT ACSET INDONUSA TBK
BUNTORO MULJONO,COMMISSIONER,True,ACST,PT ACSET INDONUSA TBK
LINDAWATI GANI,COMMISSIONER,True,ACST,PT ACSET INDONUSA TBK
WENRY ANSHORY PUTRA,PRESIDENT COMMISIONER,True,ADCP,PT ADHI COMMUTER PROPERTI TBK
YAN FIRWAN,COMMISSIONER,False,ADCP,PT ADHI COMMUTER PROPERTI TBK
HANJAYA LIMANTO,PRESIDENT COMMISIONER,False,ADES,AKASHA WIRA INTERNATIONAL TBK
NANA PUSPA DEWI,COMMISSIONER,False,ADES,AKASHA WIRA INTERNATIONAL TBK
JULIANTO,COMMISSIONER,True,ADES,AKASHA WIRA INTERNATIONAL TBK
DODY USODO HARGO,PRESIDENT COMMISIONER,False,ADHI,PT ADHI KARYA (PERSERO) TBK
ELAN SUHERLAN,COMMISSIONER,True,ADHI,PT ADHI KARYA (PERSERO) TBK
R ERWIN MOESLIMIN SINGAJURU,COMMISSIONER,True,ADHI,PT ADHI KARYA (PERSERO) TBK
BOB ARTHUR LOMBOGIA,COMMISSIONER,False,ADHI,PT ADHI KARYA (PERSERO) TBK
RUSTAM SOFYAN SIRAIT,COMMISSIONER,True,ADHI,PT ADHI KARYA (PERSERO) TBK
DAISUKE EJIMA,PRESIDENT COMMISIONER,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
KRISNA WIJAYA,COMMISSIONER,True,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
MANGGI TARUNA HABIR,COMMISSIONER,True,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
CONGSIN CONGCAR,COMMISSIONER,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
HONGGO WIDJOJO KANGMASTO,COMMISSIONER,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
BACELIUS RURU,PRESIDENT COMMISIONER,True,ADMG,POLYCHEM INDONESIA TBK
