Jabatan,Nama,KodeEmiten,NamaEmiten
HEAD,RATNA WARDHANI,AALI,ASTRA AGRO LESTARI TBK
MEMBER,HERAWATI PRASETYO,AALI,ASTRA AGRO LESTARI TBK
MEMBER,JULIANI ELIZA SYAFTARI,AALI,ASTRA AGRO LESTARI TBK
HEAD,ALDO RAMBIE,ABBA,MAHAKA MEDIA TBK
MEMBER,OTTO EDUARD SITORUS,ABBA,MAHAKA MEDIA TBK
MEMBER,ISENTA,ABBA,MAHAKA MEDIA TBK
HEAD,HERWAN NG,ABDA,ASURANSI BINA DANA ARTA TBK
MEMBER,FRANCISCO NORIEGA MALAVE,ABDA,ASURANSI BINA DANA ARTA TBK
MEMBER,KUSUWANDI TAMIN,ABDA,ASURANSI BINA DANA ARTA TBK
HEAD,MANGGI TARUNA HABIR,ABMM,ABM INVESTAMA TBK
MEMBER,FERRY AJ ALIS,ABMM,ABM INVESTAMA TBK
MEMBER,AGUS YULIANTO,ABMM,ABM INVESTAMA TBK
HEAD,MATHIUS SALEMPANG,ACES,PT ASPIRASI HIDUP INDONESIA TBK
MEMBER,JULIANTO SIDARTO,ACES,PT ASPIRASI HIDUP INDONESIA TBK
MEMBER,LIANNY LEO,ACES,PT ASPIRASI HIDUP INDONESIA TBK
HEAD,LINDAWATI GANI,ACST,PT ACSET INDONUSA TBK
MEMBER,HERAWATI PRASETYO,ACST,PT ACSET INDONUSA TBK
MEMBER,LIANNY LEO,ACST,PT ACSET INDONUSA TBK
HEAD,WENRY ANSHORY PUTRA,ADCP,PT ADHI COMMUTER PROPERTI TBK
MEMBER,SUKMA HADI,ADCP,PT ADHI COMMUTER PROPERTI TBK
MEMBER,SITI NURWAHYUNINGSIH,ADCP,PT ADHI COMMUTER PROPERTI TBK
HEAD,MISCELLIA DOTULONG,ADES,AKASHA WIRA INTERNATIONAL TBK
MEMBER,CHRISTINE,ADES,AKASHA WIRA INTERNATIONAL TBK
MEMBER,ZULBAHRI,ADES,AKASHA WIRA INTERNATIONAL TBK
HEAD,RUSTAM SOFYAN SIRAIT,ADHI,PT ADHI KARYA (PERSERO) TBK
MEMBER,MARDIANNUS PRAMUDYA,ADHI,PT ADHI KARYA (PERSERO) TBK
MEMBER,ANDI NUGROHO SURYO KUNCORO,ADHI,PT ADHI KARYA (PERSERO) TBK
HEAD,MANGGI TARUNA HABIR,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
MEMBER,JUSUF SUKIMAN,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
