Jumlah,Kategori,Nama,Pengendali,Persentase,KodeEmiten,NamaEmiten
1193171513.0,More Than 5%,ASTRA INTERNATIONAL TBK,True,61.99,AALI,ASTRA AGRO LESTARI TBK
1592831618.0,More Than 5%,PT BEYOND MEDIA,True,40.47,ABBA,MAHAKA MEDIA TBK
542042122.0,More Than 5%,PT SOLIC KREASI BARU,False,13.77,ABBA,MAHAKA MEDIA TBK
282886300.0,More Than 5%,MEDIAHUIS IRELAND LIMITED,False,7.19,ABBA,MAHAKA MEDIA TBK
538555304.0,More Than 5%,OONA INDONESIA PTE LTD,True,86.75,ABDA,ASURANSI BINA DANA ARTA TBK
1474573133.0,More Than 5%,PT TIARA MARGA TRAKINDO,True,53.55,ABMM,ABM INVESTAMA TBK
702349867.0,More Than 5%,VALLE VERDE PTE LTD,True,25.51,ABMM,ABM INVESTAMA TBK
10272189700.0,More Than 5%,PT KAWAN LAMA SEJAHTERA,True,60.0,ACES,PT ASPIRASI HIDUP INDONESIA TBK
16115027968.0,More Than 5%,PT KARYA SUPRA PERKASA,True,91.17,ACST,PT ACSET INDONUSA TBK
19999900000.0,More Than 5%,PT ADHI KARYA (PERSERO) TBK,True,89.9995,ADCP,PT ADHI COMMUTER PROPERTI TBK
100000.0,More Than 5%,KOPERASI JASA ADHI SEJAHTERA,False,0.0004,ADCP,PT ADHI COMMUTER PROPERTI TBK
538896713.0,More Than 5%,WATER PARTNERS BOTTLING SA,True,91.3544,ADES,AKASHA WIRA INTERNATIONAL TBK
5408773791.0,More Than 5%,PT DANANTARA ASSET MANAGEMENT (PERSERO),False,64.33,ADHI,PT ADHI KARYA (PERSERO) TBK
1.0,More Than 5%,NEGARA REPUBLIK INDONESIA,True,0.0,ADHI,PT ADHI KARYA (PERSERO) TBK
920700000.0,More Than 5%,PT BANK DANAMON INDONESIA TBK,True,92.07,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
1925414417.0,More Than 5%,PROVESTMENT LIMITED,True,50.0,ADMG,POLYCHEM INDONESIA TBK
994150000.0,More Than 5%,GAJAH TUNGGAL TBK,False,26.0,ADMG,POLYCHEM INDONESIA TBK
405356593.0,More Than 5%,PT SATYA MULIA GEMA GEMILANG,False,10.0,ADMG,POLYCHEM INDONESIA TBK
34525541100.0,More Than 5%,ALAMTRI RESOURCES INDONESIA TBK,True,84.451,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
14045425500.0,More Than 5%,PT ADARO STRATEGIC INVESTMENT,True,45.663,ADRO,ALAMTRI RESOURCES INDONESIA TBK
450000000.0,More Than 5%,PT INDO KREASI PRATAMA,True,45.0,AGAR,PT ASIA SEJAHTERA MINA TBK
299927300.0,More Than 5%,PT SINAR TERANG ASIA RAYA,False,29.99,AGAR,PT ASIA SEJAHTERA MINA TBK
21487162037.0,More Than 5%,PT BANK RAKYAT INDONESIA (PERSERO) TBK,True,86.8502,AGRO,PT BANK RAYA INDONESIA TBK
43792362385.0,More Than 5%,INDUSTRIAL BANK OF KOREA,True,91.49,AGRS,PT BANK IBK INDONESIA TBK
3066343009.0,More Than 5%,PT ASURANSI CENTRAL ASIA,True,62.578,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
88756991.0,More Than 5%,PT AIMS INDO INVESTAMA,True,40.34,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
68493151.0,More Than 5%,PT DELTA WIBAWA BERSAMA,False,31.13,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
5430357300.0,More Than 5%,PT PANGAN SEJAHTERA INVESTAMA,True,58.3169,AISA,PT FKS FOOD SEJAHTERA TBK
1441374472.0,More Than 5%,PT ASTA ASKARA SENTOSA,False,15.479,AISA,PT FKS FOOD SEJAHTERA TBK
1036756100.0,More Than 5%,PT RENALDI JAYA EKA INTI,False,16.07,AKKU,PT ANUGERAH KAGUM KARYA UTAMA TBK
