Nama,Closeness
ASURANSI BINA DANA ARTA TBK,1.0
PT BANK IBK INDONESIA TBK,1.0
PT ANUGERAH KAGUM KARYA UTAMA TBK,1.0
ARGHA KARYA PRIMA IND. TBK,1.0
PT MAKMUR BERKAH AMANDA TBK,1.0
PT BANK AMAR INDONESIA TBK,1.0
ASAHIMAS FLAT GLASS TBK,1.0
ASURANSI JASA TANIA TBK,1.0
PT ANDALAN SAKTI PRIMAINDO TBK,1.0
PT TRIMITRA PRAWARA GOLDLAND TBK,1.0
PT CAPITAL FINANCIAL INDONESIA TBK,1.0
PT ALADIN GLOBAL VENTURES,1.0
PT BANK ALADIN SYARIAH TBK,1.0
BEKASI ASRI PEMULA TBK,1.0
PT BHAKTI AGUNG PROPERTINDO TBK,1.0
SEPATU BATA TBK,1.0
PT MITRA ANGKASA SEJAHTERA TBK,1.0
BANK BUMI ARTA TBK,1.0
INDO KORDSA TBK,1.0
BANK OF INDIA,1.0
BANK OF INDIA INDONESIA TBK,1.0
PT BUKIT ULUWATU VILLA TBK,1.0
TANAH LAUT TBK,1.0
PT INOCYCLE TECHNOLOGY GROUP TBK,1.0
PT ERA GRAHAREALTY TBK,1.0
PT IMAGO MULIA PERSADA TBK,1.0
KERAMIKA INDONESIA ASSOSIASI TBK,1.0
KEDAUNG INDAH CAN TBK,1.0
PERDANA BANGUN PUSAKA TBK,1.0
PT MITRA ENERGI PERSADA TBK,1.0
PT DMS PROPERTINDO TBK,1.0
PT ACE OLDFIELDS TBK,1.0
LANGGENG MAKMUR INDUSTRI TBK,1.0
PT AIRASIA INDONESIA TBK,1.0
PT WAHANA INTERFOOD NUSANTARA TBK,1.0
PT CAHAYASAKTI INVESTINDO SUKSES TBK,1.0
PT CISADANE SAWIT RAYA TBK,1.0
PT EKA SARI LORENA TRANSPORT TBK,1.0
MALINDO FEEDMILL TBK,1.0
PT MARK DYNAMICS INDONESIA TBK,1.0
PT BANK MULTIARTA SENTOSA TBK,1.0
MODERN INTERNASIONAL TBK,1.0
PT MEDCO ENERGI INTERNASIONAL TBK,1.0
PT PANCA ANUGRAH WISESA TBK,1.0
MULTI BINTANG INDONESIA TBK,1.0
RODA VIVATEX TBK,1.0
PT CHITATEX PENI,1.0
BUKALAPAK,1.0
XLSMART,1.0
FASTFOOD INDONESIA,1.0
SWARA SANGKAR EMAS,1.0
GOTO,1.0
PHILIP MORRIS INTERNATIONAL,1.0
SAMPOERNA,1.0
INDOCEMENT,1.0
OOREDOO,1.0
INDOSAT OOREDOO HUTCHISON,1.0
MEDCOENERGI,1.0
METRO REALTY TBK,1.0
PT NUSA PALAPA GEMILANG TBK,1.0
INDONESIA PRIMA PROPERTY TBK,1.0
PT OPTIMA PRIMA METAL SINERGI TBK,1.0
PT PANCA BUDI IDAMAN TBK,1.0
PT BOSTON FURNITURE INDUSTRIES TBK,1.0
EXPRESS TRANSINDO UTAMA TBK,1.0
PT BANK KB INDONESIA TBK,1.0
PT MESTIKA BENUA MAS,1.0
PT BANK MESTIKA DHARMA TBK,1.0
PT KROM BANK INDONESIA TBK,1.0
PT BANK JTRUST INDONESIA TBK,1.0
PEMERINTAH PROVINSI BANTEN,1.0
PT BANK PEMBANGUNAN DAERAH BANTEN TBK,1.0
BFI FINANCE INDONESIA TBK,1.0
PT BHAKTI MULTI ARTHA TBK,1.0
PT GOLDEN LESTARI,1.0
PRIMARINDO ASIA INFRASTRUCTURE TBK,1.0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,1.0
PEMERINTAH DAERAH TINGKAT I PROVINSI JAWA TIMUR,1.0
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,1.0
QATAR NATIONAL BANK QPSC,1.0
PT BANK QNB INDONESIA TBK,1.0
CENTRAL OMEGA RESOURCES TBK,1.0
PT PURADELTA LESTARI TBK,1.0
OK NEXT CO LTD,1.0
PT BANK OKE INDONESIA TBK,1.0
DHARMA SAMUDERA FISHING IND TBK,1.0
EKADHARMA INTERNATIONAL TBK,1.0
PT ENVY TECHNOLOGIES INDONESIA TBK,1.0
PT SINERGI INTI PLASTINDO TBK,1.0
EVER SHINE TEXTILE INDUSTRY TBK,1.0
PT PLANET PROPERINDO JAYA TBK,1.0
PLAZA INDONESIA REALTY TBK,1.0
PT PUTRA RAJAWALI KENCANA TBK,1.0
PT PURI GLOBAL SUKSES TBK,1.0
PT REPOWER ASIA INDONESIA TBK,1.0
RELIANCE SEKURITAS INDONESIA TBK,1.0
RICKY PUTRA GLOBALINDO TBK,1.0
HONOUR ACCORD LIMITED,1.0
