Nama,Degree
PT PLN (PERSERO),32.0
PT INDOSAT TBK,23.0
PT XLSMART TELECOM SEJAHTERA TBK,22.0
PP (PERSERO) TBK,19.0
PT TELKOM INDONESIA (PERSERO) TBK,17.0
RESOURCE ALAM INDONESIA TBK,17.0
PT PERTAMINA (PERSERO),16.0
PT TELEKOMUNIKASI SELULAR,15.0
PT WIJAYA KARYA (PERSERO) TBK,14.0
INDAH KIAT PULP & PAPER TBK,14.0
UNITED TRACTORS TBK,14.0
PT BANK MANDIRI (PERSERO) TBK,13.0
BUMI RESOURCES TBK,13.0
PT ADHI KARYA (PERSERO) TBK,13.0
WIJAYA KARYA BETON,13.0
PT PERTAMINA PATRA NIAGA,13.0
PT HUTAMA KARYA (PERSERO),13.0
ASTRA INTERNATIONAL TBK,12.0
SALIM IVOMAS PRATAMA TBK,12.0
PT GOTO GOJEK TOKOPEDIA TBK,11.0
PT WASKITA KARYA (PERSERO) TBK,11.0
PT BENTOEL PRIMA,11.0
PT BANK RAKYAT INDONESIA (PERSERO) TBK,11.0
PT SUMBER ALFARIA TRIJAYA TBK,11.0
PT CHITOSE INTERNASIONAL TBK,11.0
PT PERTAMINA HULU ENERGI,11.0
ENSEVAL PUTERA MEGATRADING TBK,11.0
PT PERTAMINA EP,11.0
PT ANUGERAH PHARMINDO LESTARI,11.0
BADAN PENYELENGGARA JAMINAN SOSIAL,10.0
PT KILANG PERTAMINA INTERNASIONAL,10.0
PT BANK NATIONALNOBU TBK,10.0
INDOFOOD CBP SUKSES MAKMUR TBK,10.0
BUKIT ASAM TBK,10.0
PT M CASH INTEGRASI TBK,10.0
ANEKA TAMBANG TBK,10.0
KALBE FARMA TBK,10.0
PT SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK,10.0
PT WILMAR NABATI INDONESIA,9.0
INDOCEMENT TUNGGAL PRAKARSA TBK,9.0
PT TBS ENERGI UTAMA TBK,9.0
MATAHARI DEPARTMENT STORE TBK,9.0
KEMENTERIAN KESEHATAN REPUBLIK INDONESIA,9.0
PT PAMAPERSADA NUSANTARA,9.0
INDOFOOD SUKSES MAKMUR TBK,9.0
PT SUKANDA DJAYA,9.0
ALUMINDO LIGHT METAL INDUSTRY TBK,9.0
PT DAHANA (PERSERO),9.0
PT TOKOPEDIA,9.0
