Nama,Degree
INDOMOBIL SUKSES INTERNASIONAL TBK,165.0
DIAN SWASTATIKA SENTOSA TBK,155.0
PT MITRA ADIPERKASA TBK,139.0
PT SILOAM INTERNATIONAL HOSPITALS TBK,108.0
INDIKA ENERGY TBK,100.0
PT BUKALAPAK.COM TBK,95.0
GOLDEN ENERGY MINES TBK,90.0
CITY RETAIL DEVELOPMENTS TBK,89.0
PT SURYA SEMESTA INTERNUSA TBK,88.0
SHANTOU MARIA INVESTMENT CO LTD,84.0
PT M CASH INTEGRASI TBK,83.0
PT WASKITA KARYA (PERSERO) TBK,79.0
PT ADHI KARYA (PERSERO) TBK,76.0
PT MEDIKALOKA HERMINA TBK,72.0
PT INDOMOBIL MULTI JASA TBK,69.0
ABM INVESTAMA TBK,69.0
BUKAKA TEKNIK UTAMA TBK,69.0
PT NFC INDONESIA TBK,68.0
BUKIT ASAM TBK,67.0
PT TBS ENERGI UTAMA TBK,67.0
PT WIJAYA KARYA (PERSERO) TBK,65.0
ASTRA INTERNATIONAL TBK,64.0
ASTRA AGRO LESTARI TBK,64.0
MEDIA NUSANTARA CITRA TBK,63.0
FKS MULTI AGRO TBK,62.0
EAGLE HIGH PLANTATIONS TBK,60.0
PT IMPACK PRATAMA INDUSTRI TBK,56.0
PT DIGITAL MEDIATAMA MAXIMA TBK,56.0
PT SUPREME CABLE MANUFACTURING & COMMERCE TBK,56.0
SARANA MENARA NUSANTARA TBK,56.0
PT WIJAYA KARYA BANGUNAN GEDUNG TBK,55.0
PT WASKITA BETON PRECAST TBK,55.0
PT FKS FOOD SEJAHTERA TBK,55.0
SALIM IVOMAS PRATAMA TBK,54.0
HARUM ENERGY TBK,52.0
PT DIAGNOS LABORATORIUM UTAMA TBK,52.0
PT MODERNLAND REALTY TBK,51.0
MNC TOURISM INDONESIA TBK,51.0
PT BUANA LINTAS LAUTAN TBK,50.0
ANEKA TAMBANG TBK,49.0
RESOURCE ALAM INDONESIA TBK,49.0
ERAJAYA SWASEMBADA TBK,49.0
INTILAND DEVELOPMENT TBK,48.0
TEMPO SCAN PACIFIC TBK,48.0
ELNUSA TBK,47.0
PT PRIMA ANDALAN MANDIRI TBK,47.0
PT BLUE BIRD TBK,47.0
PT SOECHI LINES TBK,46.0
KOBEXINDO TRACTORS TBK,46.0
PT DHARMA SATYA NUSANTARA TBK,46.0
PT SURYA BIRU MURNI ACETYLENE TBK,46.0
PT BUMA INTERNASIONAL GRUP TBK,45.0
PT SHIELD ON SERVICE TBK,44.0
WIJAYA KARYA BETON,43.0
PT SUPER ENERGY TBK,43.0
MARTINA BERTO TBK,43.0
VOKSEL ELECTRIC TBK,43.0
PT MEGA MANUNGGAL PROPERTY TBK,42.0
PT BALI BINTANG SEJAHTERA TBK,42.0
PT NUSA RAYA CIPTA TBK,42.0
ELANG MAHKOTA TEKNOLOGI TBK,42.0
PT CEMINDO GEMILANG TBK,42.0
LEYAND INTERNATIONAL TBK,42.0
PT ACSET INDONUSA TBK,42.0
PT AGUNG PODOMORO LAND TBK,42.0
PT KIRANA MEGATARA TBK,41.0
PT ASPIRASI HIDUP INDONESIA TBK,41.0
PT TRANSCOAL PACIFIC TBK,41.0
PT KETROSDEN TRIASMITRA TBK,41.0
PT PERMA PLASINDO TBK,40.0
ANCORA INDONESIA RESOURCES TBK,40.0
JAPFA COMFEED INDONESIA TBK,40.0
PT SUMBER TANI AGUNG RESOURCES TBK,40.0
KIMIA FARMA TBK,40.0
PT MAP AKTIF ADIPERKASA TBK,40.0
SEMEN INDONESIA (PERSERO) TBK,40.0
ALAMTRI RESOURCES INDONESIA TBK,40.0
PT INDONESIA PONDASI RAYA TBK,39.0
PT SINGARAJA PUTRA TBK,39.0
PT RMK ENERGY TBK,39.0
PT ERA MANDIRI CEMERLANG TBK,39.0
KAWASAN INDUSTRI JABABEKA TBK,39.0
PT LOGINDO SAMUDRAMAKMUR TBK,39.0
CITRA TUBINDO TBK,38.0
BUMI RESOURCES MINERALS TBK,38.0
PETROSEA TBK,38.0
INDOCEMENT TUNGGAL PRAKARSA TBK,38.0
BAKRIELAND DEVELOPMENT TBK,38.0
PT PUTRA MANDIRI JEMBAR TBK,38.0
PT ATELIERS MECANIQUES D INDONESIE TBK,38.0
PT KINO INDONESIA TBK,37.0
INTANWIJAYA INTERNASIONAL TBK,37.0
PT ANABATIC TECHNOLOGIES TBK,37.0
PT MITRA KELUARGA KARYASEHAT TBK,37.0
ENSEVAL PUTERA MEGATRADING TBK,36.0
INDOFOOD SUKSES MAKMUR TBK,36.0
PT PRIMA GLOBALINDO LOGISTIK TBK,36.0
PT HASNUR INTERNASIONAL SHIPPING TBK,36.0
BAYAN RESOURCES TBK,36.0
