Nama,PageRank
RESOURCE ALAM INDONESIA TBK,2.32
VALE INDONESIA TBK,1.89
BUMI RESOURCES TBK,1.6
PT TBS ENERGI UTAMA TBK,1.3
PT PLN (PERSERO),1.24
PT HALEYORA POWER,1.21
PT BENTOEL PRIMA,1.2
PT VISI MEDIA ASIA TBK,1.11
PT CHITOSE INTERNASIONAL TBK,1.09
BANK ARTHA GRAHA INTERNASIONAL TBK,1.0
PT BUANA LINTAS LAUTAN TBK,0.99
BISI INTERNATIONAL TBK,0.98
PT BANK MAYAPADA INTERNASIONAL TBK,0.97
KALBE FARMA TBK,0.96
SUMITOMO METAL MINING CO LTD,0.94
VALE CANADA LIMITED,0.94
PT TRIPUTRA AGRO PERSADA TBK,0.93
SUPRA BOGA LESTARI TBK,0.92
PT GOTO GOJEK TOKOPEDIA TBK,0.88
DARMA HENWA TBK,0.86
PERDANA GAPURA PRIMA TBK,0.86
BARAMULTI SUKSESSARANA TBK,0.86
PT DHARMA SATYA NUSANTARA TBK,0.85
PT KEDOYA ADYARAYA TBK,0.83
PT XLSMART TELECOM SEJAHTERA TBK,0.83
PT MD ENTERTAINMENT TBK,0.8
GOWA MAKASSAR TOURISM DEVELOPMENT TBK,0.79
SUPARMA TBK,0.79
PT MAHA PROPERTI INDONESIA TBK,0.79
TEMPO INTI MEDIA TBK,0.79
ARGO PANTES TBK,0.77
PT CAHAYAPUTRA ASA KERAMIK TBK,0.76
PT INDOSAT TBK,0.75
PT SURYA SEMESTA INTERNUSA TBK,0.75
METROPOLITAN KENTJANA TBK,0.72
PANINVEST TBK,0.72
UNILEVER (INDONESIA),0.72
PT NUSA RAYA CIPTA TBK,0.72
BAKRIELAND DEVELOPMENT TBK,0.71
ALUMINDO LIGHT METAL INDUSTRY TBK,0.7
INDAL ALUMINIUM INDUSTRY TBK,0.69
PT BANK NATIONALNOBU TBK,0.69
PT TRINITI DINAMIK TBK,0.69
SEKAR LAUT TBK,0.69
PT NIPPON INDOSARI CORPINDO TBK,0.69
PT CATURKARDA DEPO BANGUNAN TBK,0.68
JEMBO CABLE COMPANY TBK,0.68
PAKUWON JATI TBK,0.68
PT IMC PELITA LOGISTIK TBK,0.68
PELAT TIMAH NUSANTARA TBK,0.68
PT ANABATIC TECHNOLOGIES TBK,0.67
ISLAND CONCEPTS INDONESIA TBK,0.67
UNILEVER INDONESIA TBK,0.67
TRANS POWER MARINE TBK,0.67
PT EMDEKI UTAMA TBK,0.66
PT ASIA PACIFIC INVESTAMA TBK,0.66
METRO REALTY TBK,0.66
PT WIRA GLOBAL SOLUSI TBK,0.66
PT PUTRA RAJAWALI KENCANA TBK,0.66
SEJAHTERARAYA ANUGRAHJAYA TBK,0.66
LEYAND INTERNATIONAL TBK,0.66
PT IFISHDECO TBK,0.66
INDONESIAN PARADISE PROPERTY TBK,0.66
PT SATRIA ANTARAN PRIMA TBK,0.66
PT SOHO GLOBAL HEALTH TBK,0.66
BANK BUMI ARTA TBK,0.66
APEXINDO PRATAMA DUTA TBK,0.66
TRIAS SENTOSA TBK,0.66
PT BANK JTRUST INDONESIA TBK,0.66
INTILAND DEVELOPMENT TBK,0.66
PT ANUGERAH KAGUM KARYA UTAMA TBK,0.66
PT BANK AMAR INDONESIA TBK,0.66
TRIKOMSEL OKE TBK,0.66
PUDJIADI PRESTIGE TBK,0.64
CATUR SENTOSA ADIPRANA TBK,0.63
PT SOLUSI KAMPUS INDONESIA,0.63
SALIM IVOMAS PRATAMA TBK,0.63
PT MODERNLAND REALTY TBK,0.63
KABELINDO MURNI TBK,0.62
PT GARUDAFOOD PUTRA PUTRI JAYA TBK,0.62
PT COMMUNICATION CABLE SYSTEMS INDONESIA TBK,0.62
INDOPOLY SWAKARSA INDUSTRY TBK,0.61
SEKAR BUMI TBK,0.61
PT DAYASA ARIA PRIMA,0.61
ANCORA INDONESIA RESOURCES TBK,0.61
SUMBER ENERGI ANDALAN TBK,0.61
INTERNATIONAL RESOURCES LTD,0.6
PT PEMBANGUNAN DELTAMAS,0.6
GTBO INTERNATIONAL FZE,0.6
BUMI RESOURCES MINERALS TBK,0.6
PT SINAR ALAM PERMAI,0.6
PT WAHANA OTTOMITRA MULTIARTHA TBK,0.6
PT SURYA PERMATA ANDALAN TBK,0.6
PT BANK MASPION INDONESIA TBK,0.6
PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK,0.59
SILOAM HOSPITALS GROUP,0.59
PT NATURA CITY DEVELOPMENTS TBK,0.58
MALINDO FEEDMILL TBK,0.58
PT FUJI FINANCE INDONESIA TBK,0.58
ASTRA INTERNATIONAL TBK,0.58
FIRST MEDIA TBK,0.58
PT ESTA MULTI USAHA TBK,0.57
INDOMOBIL SUKSES INTERNASIONAL TBK,0.57
PEMBANGUNAN GRAHA LESTARI INDAH TBK,0.57
PT ASURANSI MAXIMUS GRAHA PERSADA TBK,0.57
PT SLJ GLOBAL TBK,0.57
PT BANK MAYBANK INDONESIA TBK,0.56
PT GLOBAL SUKSES SOLUSI TBK,0.56
PT CHANDRA ASRI PACIFIC TBK,0.56
PT JAYA TRISHINDO TBK,0.56
WAHANA PRONATURAL TBK,0.56
PT SERVEWELL OFFSHORE,0.56
PT GRAHA ANDRASENTRA PROPERTINDO TBK,0.56
PT SUPREME CABLE MANUFACTURING & COMMERCE TBK,0.56
PT BHUMI JATI POWER,0.56
ENSEVAL PUTERA MEGATRADING TBK,0.55
CHAMPION PACIFIC INDONESIA TBK,0.55
PT BINTANG GRAHA LOKA,0.55
PT TRANSPORTASI JAKARTA,0.55
PT INGRAM MICRO INDONESIA,0.55
PT LANCARJAYA MANDIRI ABADI,0.55
INDOCEMENT TUNGGAL PRAKARSA TBK,0.55
PT M CASH INTEGRASI TBK,0.55
PT BLUE BIRD TBK,0.54
PT DUTA INTIDAYA TBK,0.54
PT ARKORA HYDRO TBK,0.54
FAJAR SURYA WISESA TBK,0.54
BANK PERMATA TBK,0.54
PT CHAMP RESTO INDONESIA TBK,0.54
PT AVIA AVIAN TBK,0.54
ATLAS RESOURCES TBK,0.53
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK,0.53
PT INOCYCLE TECHNOLOGY GROUP TBK,0.53
PELAYARAN NASIONAL BINA BUANA RAYA TBK,0.53
PT KROM BANK INDONESIA TBK,0.53
PT BHAKTI MULTI ARTHA TBK,0.53
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,0.53
GARDA TUJUH BUANA TBK,0.53
HARUM ENERGY TBK,0.53
PT BLISS PROPERTI INDONESIA TBK,0.53
PT MARK DYNAMICS INDONESIA TBK,0.53
PT BANK MULTIARTA SENTOSA TBK,0.53
