Nama,Betweenness
JULIUS WAHYU KALAIJ,1145798.9
DANIEL WAHYU KALAIY,643374.55
BUMI RESOURCES MINERALS TBK,318900.88
WILLEM MATHIAS NATIGOR KALAIJ,278996.61
HILMAN HERMAWAN,180235.71
IYAN PERMANA,174991.75
PT GARUDA METALINDO TBK,163047.01
TRULI NATASCHA WILHELMINA KALAIJ,161662.61
ESSA INDUSTRIES INDONESIA TBK,156755.17
YULIANA SETIADI,145141.18
JAYA REAL PROPERTY TBK,130948.39
PT PLN ENERGI PRIMER INDONESIA,127841.87
GARIBALDI THOHIR,124739.56
BANK PERMATA TBK,119440.58
PLAZA INDONESIA REALTY TBK,115607.16
AQUARIUS RUDIANTO,112752.0
PT BANK RAKYAT INDONESIA (PERSERO) TBK,111681.0
BANK MEGA TBK,109009.16
PT M CASH INTEGRASI TBK,107658.55
METROPOLITAN KENTJANA TBK,106441.5
IWAN PUTRA BRASALI,103972.78
PT MEGAPOWER MAKMUR TBK,102838.24
PT TELKOM INDONESIA (PERSERO) TBK,101642.24
ISMAIL,96615.6
ELANG MAHKOTA TEKNOLOGI TBK,95937.25
PT GOTO GOJEK TOKOPEDIA TBK,95708.51
INDOFOOD SUKSES MAKMUR TBK,95536.03
NUSA KONSTRUKSI ENJINIRING TBK,88301.36
RIDUAN,87923.6
JOHN LOPULISA,86004.18
ABM INVESTAMA TBK,83977.83
PT SLJ GLOBAL TBK,83554.23
THOMAS CHRISTIAN,83528.21
ANTHONI SALIM,81755.11
ANEKA TAMBANG TBK,80191.32
PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK,79851.17
METROPOLITAN LAND TBK,77849.3
PT GARUDAFOOD PUTRA PUTRI JAYA TBK,77140.8
HERY GUNARDI,76557.0
BAMBANG HARTONO,75565.22
PT BANK SYARIAH INDONESIA TBK,75125.0
ROHAN HAFAS,74704.0
FRANKY OESMAN WIDJAJA,74245.0
PT AGUNG SEMESTA SEJAHTERA TBK,74083.58
PT CHANDRA ASRI PACIFIC TBK,73296.94
PT TOWER BERSAMA INFRASTRUCTURE TBK,70299.4
HENDRO MARTOWARDOJO,70042.2
HELMY YUSMAN SANTOSO,69937.01
PT TEMPO DIGITAL NUSANTARA,69112.0
PT LENOX PASIFIK INVESTAMA TBK,67160.49
SIDOMULYO SELARAS TBK,66489.17
PT BANK MAYAPADA INTERNASIONAL TBK,65912.47
THOMAS WAHYU KALAIJ,64673.18
PT MEDIKALOKA HERMINA TBK,63496.93
PT BANK CENTRAL ASIA TBK,62916.6
PT MEGALESTARI EPACK SENTOSARAYA TBK,62257.97
PT GLOBAL TIKET NETWORK,61572.16
ZAENAL,57624.91
PT PATRA JASA,53272.43
PT ALLO BANK INDONESIA TBK,52281.55
FENDI SANTOSO,51376.0
INDOFOOD CBP SUKSES MAKMUR TBK,49698.89
MATAHARI PUTRA PRIMA TBK,49554.0
PT VICTORIA INVESTAMA TBK,49425.0
SUZANNA TANOJO,47678.0
MOCHTAR RIADY,47472.0
PT BANK MANDIRI (PERSERO) TBK,46995.69
PT XLSMART TELECOM SEJAHTERA TBK,46710.19
SRI WAHYUNING,46090.49
WINATO KARTONO,46043.51
TIRTA MAHAKAM RESOURCES TBK,45580.0
PT BANK NEGARA INDONESIA (PERSERO) TBK,45412.27
PT PERTAMINA PATRA NIAGA,45141.01
RIONALD SILABAN,43144.78
PT PERTAMINA GEOTHERMAL ENERGY TBK,42685.24
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK,42054.04
PT ANABATIC TECHNOLOGIES TBK,41717.0
EDWIN SOERYADJAYA,40797.92
LO KHENG HONG,40513.29
BUMI TEKNOKULTURA UNGGUL TBK,40439.18
PT DUTA INTIDAYA TBK,40399.83
PT SOHO GLOBAL HEALTH TBK,39793.0
PT MULIA BOGA RAYA TBK,39791.5
ADDIN JAUHARUDIN,39640.0
PT MEGA MANUNGGAL PROPERTY TBK,39640.0
PT FAST FOOD INDONESIA TBK,38534.94
SUGITO WALUJO,38418.84
TEMPO SCAN PACIFIC TBK,38342.84
RESOURCE ALAM INDONESIA TBK,37846.0
PT WASKITA KARYA (PERSERO) TBK,37812.0
LIM GUNARDI HARIYANTO,37772.0
HUNGKANG SUTEDJA,37677.0
HAPSORO,37577.5
ASURANSI MULTI ARTHA GUNA TBK,36413.84
JAMES TJAHAJA RIADY,35820.0
PT KEDOYA ADYARAYA TBK,35777.0
PT MAHKOTA GROUP TBK,35755.5
NUSANTARA INFRASTRUCTURE TBK,35036.59
PUJIONO ACHMADI,34614.06
PT TRINITI DINAMIK TBK,34367.29
PRAJOGO PANGESTU,34304.33
PT JHONLIN BARATAMA,34060.04
PT PERUSAHAAN GAS NEGARA TBK,33851.49
MEDYA LENGKEY S,33745.0
MANUEL VELEZ PANGILINAN,33693.53
CITRA TUBINDO TBK,33025.63
ALAMTRI RESOURCES INDONESIA TBK,33013.03
INDO KORDSA TBK,32509.32
METRODATA ELECTRONICS TBK,31838.0
