Nama,Closeness
PT ADHI COMMUTER PROPERTI TBK,1.0
AKASHA WIRA INTERNATIONAL TBK,1.0
WITO KRISNAHADI,1.0
PT ALAMTRI MINERALS INDONESIA TBK,1.0
PT ASIA SEJAHTERA MINA TBK,1.0
PT FKS FOOD SEJAHTERA TBK,1.0
ALAKASA INDUSTRINDO TBK,1.0
PT MAKMUR BERKAH AMANDA TBK,1.0
PT BANK AMAR INDONESIA TBK,1.0
ALEXANDER AGUNG PRANOTO,1.0
ASIAPLAST INDUSTRIES TBK,1.0
PT BANK KB INDONESIA TBK,1.0
PT BANK MESTIKA DHARMA TBK,1.0
PELAYARAN NASIONAL BINA BUANA RAYA TBK,1.0
PT BANK TABUNGAN NEGARA (PERSERO) TBK,1.0
EAGLE HIGH PLANTATIONS TBK,1.0
PT CASHLEZ WORLDWIDE INDONESIA TBK,1.0
SURONO SUBEKTI,1.0
CAHAYA AERO SERVICES TBK,1.0
PT COMMUNICATION CABLE SYSTEMS INDONESIA TBK,1.0
PT NATURA CITY DEVELOPMENTS TBK,1.0
PT CITRA PUTRA REALTY TBK,1.0
PT AIRASIA INDONESIA TBK,1.0
PT ACE OLDFIELDS TBK,1.0
LEYAND INTERNATIONAL TBK,1.0
PT LCK GLOBAL KEDATON TBK,1.0
PT IMAGO MULIA PERSADA TBK,1.0
MULTISTRADA ARAH SARANA TBK,1.0
REINALD SISWANTO,1.0
PT WAHANA INTERFOOD NUSANTARA TBK,1.0
RAMON S ANG,1.0
DELTA DJAKARTA TBK,1.0
MICHAEL BRIAN DORRELL,1.0
PT INDOINTERNET TBK,1.0
WIRASTUTY FANGIONO,1.0
PT FAP AGRI TBK,1.0
PETER SONDAKH,1.0
JOVASKY PANG WEI SHEN,1.0
RADANA BHASKARA FINANCE TBK,1.0
PT LESTARI KIRANA PERSADA,1.0
MEDINA,1.0
PT PASARAYA INTERNATIONAL HEDONISARANA,1.0
RINDU RAULI PERSADAAN KARO KARO,1.0
PT WISISCO BAJA PUTRA,1.0
NENCY,1.0
PT AEL INDONESIA,1.0
PETER JAMES BINSTED,1.0
DAMIEN RAJAH MARIK,1.0
PT ORICA MINING SERVICES,1.0
EDDY CHANDRA TJOA,1.0
CV GALLERY AUTO SOLUTION,1.0
KUSTOMO,1.0
CV TIGA CAHAYA INTAN,1.0
MELIANA,1.0
PT SURABAYA KERAMIK,1.0
NADINE GRAF,1.0
PT ELC BEAUTY INDONESIA,1.0
ROY KOHARJAYA,1.0
PT JAYA AGRINDO,1.0
ANTOINE JEAN JACQUES ARNAULD BERNARD DE SAINT,1.0
PT NUTRICIA INDONESIA SEJAHTERA,1.0
PT ROCHE INDONESIA,1.0
NURCAN ERTAS KUZU,1.0
PT BEKO APPLIANCES INDONESIA,1.0
PT CAKRA INDO PRATAMA,1.0
NURHAYATI,1.0
PT DAYA UTAMA TANGGUH AMANAH,1.0
SUSANTO WIJAYA,1.0
PT GAJAH UNGGUL INTERNASIONAL,1.0
PT ECART WEBPORTAL INDONESIA,1.0
NELSON AMIDJAJA,1.0
PT TOPINDO ATLAS ASIA,1.0
MUCHAMMAD FADHLI,1.0
PT ZULU ALPHA PAPA,1.0
MARTIN WIBOWO,1.0
PT SUKSES KARYA AGUNG,1.0
JOHANNES SETIJONO,1.0
PT JAYATAMA SELARAS,1.0
TEUKU HASRULLIZAR,1.0
PT SUMBER KEMAS INDONESIA,1.0
INDRA BOEDIJONO,1.0
PT FASTRATA BUANA,1.0
OSAMU KURIBARA,1.0
PT HOKKAN INDONESIA,1.0
GUNA JAYA MALIK,1.0
PT INTIM PUTRA PERKASA,1.0
PT JANTI SARANA MATERIAL BETON,1.0
LI FUYING,1.0
PT MULTI INDO TRADING,1.0
EKA PUTRA WIRYA,1.0
PT WIRYA KRENINDO PERKASA,1.0
HENRY PAKPAHAN,1.0
PT BASUKI RAHMANTA PUTRA,1.0
PT DHARMA SUBUR SATYA,1.0
KUO JEN CHIU,1.0
PT HIJAU LESTARI RAYA FIBREBOARD,1.0
MASAYUKI SATO,1.0
PT JGC INDONESIA,1.0
PT SUMBER URIP SEJATI,1.0
PT BINA MITRA INDOSEJAHTERA,1.0
DEKY SURYAWAN,1.0
PT PROGRESMAX,1.0
YASINTA ARINTARINI,1.0
PT DUTA MAS INDAH,1.0
JIANG FENG,1.0
PT HAILIANG NOVA MATERIAL INDONESIA,1.0
