Nama,Degree
PT STEEL PIPE INDUSTRY OF INDONESIA TBK,25.0
BUMI RESOURCES MINERALS TBK,25.0
RESOURCE ALAM INDONESIA TBK,25.0
PT SARASWANTI ANUGERAH MAKMUR TBK,23.0
PT BANK CENTRAL ASIA TBK,22.0
INDOFOOD SUKSES MAKMUR TBK,20.0
METROPOLITAN LAND TBK,20.0
PT XLSMART TELECOM SEJAHTERA TBK,20.0
PT BANK NEGARA INDONESIA (PERSERO) TBK,19.0
PT BANK SYARIAH INDONESIA TBK,19.0
PT BANK RAKYAT INDONESIA (PERSERO) TBK,19.0
PT CISADANE SAWIT RAYA TBK,19.0
INDOFOOD CBP SUKSES MAKMUR TBK,19.0
PT MULIA BOGA RAYA TBK,19.0
PT BANK TABUNGAN NEGARA (PERSERO) TBK,18.0
ABM INVESTAMA TBK,18.0
ASTRA GRAPHIA TBK,18.0
PT GOTO GOJEK TOKOPEDIA TBK,18.0
PT BANK MANDIRI (PERSERO) TBK,18.0
PT FAST FOOD INDONESIA TBK,17.0
PT TELKOM INDONESIA (PERSERO) TBK,17.0
PT PERUSAHAAN GAS NEGARA TBK,16.0
PT ALLO BANK INDONESIA TBK,16.0
ANEKA TAMBANG TBK,16.0
PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK,16.0
PT GARUDAFOOD PUTRA PUTRI JAYA TBK,15.0
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,15.0
SIDOMULYO SELARAS TBK,15.0
PT BANK SMBC INDONESIA TBK,15.0
DARMA HENWA TBK,14.0
ELANG MAHKOTA TEKNOLOGI TBK,14.0
PT DUTA INTIDAYA TBK,14.0
SAMINDO RESOURCES TBK,14.0
PT ACE OLDFIELDS TBK,14.0
INDIKA ENERGY TBK,14.0
PT GUNUNG RAJA PAKSI TBK,14.0
BUKIT ASAM TBK,14.0
SURYA TOTO INDONESIA TBK,14.0
ALAMTRI RESOURCES INDONESIA TBK,14.0
POLYCHEM INDONESIA TBK,13.0
PT KARUNIA UNGGUL SEMESTA,13.0
PT DAYAMITRA TELEKOMUNIKASI TBK,13.0
PT MD ENTERTAINMENT TBK,13.0
TEMPO SCAN PACIFIC TBK,13.0
SEMEN INDONESIA (PERSERO) TBK,13.0
PT SURYA PERTIWI TBK,13.0
PT PUNDI KENCANA,13.0
PT IFISHDECO TBK,13.0
PT ALAT BUMI PERMAI,13.0
NUSANTARA INFRASTRUCTURE TBK,12.0
PT BANK RAYA INDONESIA TBK,12.0
BAYAN RESOURCES TBK,12.0
PT COMMUNICATION CABLE SYSTEMS INDONESIA TBK,12.0
