Nama,Degree
JULIUS WAHYU KALAIJ,89.0
WILLEM MATHIAS NATIGOR KALAIJ,64.0
DANIEL WAHYU KALAIY,51.0
TRULI NATASCHA WILHELMINA KALAIJ,34.0
THOMAS CHRISTIAN,14.0
GARIBALDI THOHIR,14.0
EDWIN SOERYADJAYA,14.0
ANTHONI SALIM,13.0
FRANKY OESMAN WIDJAJA,13.0
EDDY K SARIAATMADJA,13.0
IYAN PERMANA,13.0
HANDOKO ANINDYA TANUADJI,13.0
MARTIN SUHARLIE,12.0
MANOJ DHAMOO PUNJABI,12.0
HILMAN HERMAWAN,12.0
HAPSORO,12.0
MARISA KOLONAS,11.0
HARY TANOESOEDIBJO,11.0
IVAN RIZAL SINI,11.0
JAMES TJAHAJA RIADY,10.0
ROBERT BUDI HARTONO,10.0
PUJIONO ACHMADI,10.0
YULIANA SETIADI,10.0
JACKSON WIJAYA LIMANTARA,9.0
THE NING KING,9.0
INDRA WIDJAJA,9.0
MARDANI H MAMING,9.0
ROIS SUNANDAR,9.0
PRAJOGO PANGESTU,8.0
MARDANI HAJI MAMING,8.0
JONATHAN TAHIR,8.0
SUZANNA TANOJO,8.0
LOW TUCK KWONG,8.0
WILLEM LOUIS CHAREL KALAIJ,8.0
SUMIHAR MANURUNG,8.0
YAHYA TAUFIK,8.0
WINATO KARTONO,8.0
LAWRENCE BARKI,8.0
JOHN LOPULISA,8.0
GO DARMADI,7.0
KUNCORO WIBOWO,7.0
SANTOSO,7.0
GRACE TJUGIARTO,7.0
JOGI HENDRA ATMADJA,7.0
ZAENAL,7.0
NELLY TADI BAU,7.0
SUWANDI LIM,7.0
OKI WIDJAJA,7.0
DJONY BUNARTO TJONDRO,7.0
THOMAS WAHYU KALAIJ,7.0
SANTOSA,6.0
BAMBANG HARTONO,6.0
LOW YEW LEAN,6.0
BUDYANTO TOTONG,6.0
MUH TAHIR,6.0
MERI HERAWATI K,6.0
HENGKY WIJAYA,6.0
SUHENDRO,6.0
FXL KESUMA,6.0
EDDY HARTONO,6.0
SUDHAMEK AGOENG WASPODO SOENJOTO,6.0
HAIYANTO,6.0
SRI WAHYUNING,5.0
ANALTA AMIER,5.0
EDDY SUGIANTO,5.0
MILY,5.0
NIRWAN DERMAWAN BAKRIE,5.0
CHALID SAID SALIM,5.0
LO KHENG HONG,5.0
EDDY WILLIAM KATUARI,5.0
ANNE PATRICIA SUTANTO,5.0
TRIHATMA KUSUMA HALIMAN,5.0
THE NICHOLAS,5.0
PO SUN KOK,5.0
PAULUS GUNAWAN,5.0
TONY SAPUTRA,5.0
SANTOSO WIDJOJO,5.0
LINDA SURYASARI WIJAYA,5.0
BACHTIAR KARIM,5.0
LIM GUNAWAN HARIYANTO,5.0
HARTONO ATMADJA,5.0
RIDUAN,5.0
ELLY SOEPONO,5.0
AGUNG BUDI WASKITO,5.0
HARYANTO TJIPTODIHARDJO,5.0
WIRANTO NURHADI,5.0
TAN KONG HAN,5.0
CHIEW SIN CHEOK,5.0
GIDION HASAN,5.0
HENRY TANOTO,5.0
RUDY,5.0
SHANTI LASMININGSIH POESPOSOETJIPTO,5.0
IRMAN,5.0
CHAIRUL TANJUNG,5.0
