Nama,PageRank
PT STEEL PIPE INDUSTRY OF INDONESIA TBK,2.78
PT SARASWANTI ANUGERAH MAKMUR TBK,2.71
PT BANK SYARIAH INDONESIA TBK,2.44
PT BANK RAKYAT INDONESIA (PERSERO) TBK,2.44
PT BANK TABUNGAN NEGARA (PERSERO) TBK,2.44
BUMI RESOURCES MINERALS TBK,2.43
PT XLSMART TELECOM SEJAHTERA TBK,2.39
PT BANK NEGARA INDONESIA (PERSERO) TBK,2.36
RESOURCE ALAM INDONESIA TBK,2.27
PT BANK CENTRAL ASIA TBK,2.21
PT BANK MANDIRI (PERSERO) TBK,2.07
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,2.06
PT BANK SMBC INDONESIA TBK,2.0
PT TELKOM INDONESIA (PERSERO) TBK,1.97
METROPOLITAN LAND TBK,1.95
PT CISADANE SAWIT RAYA TBK,1.94
BUKIT ASAM TBK,1.87
PT FAST FOOD INDONESIA TBK,1.86
PT PERUSAHAAN GAS NEGARA TBK,1.81
ABM INVESTAMA TBK,1.79
INDOFOOD SUKSES MAKMUR TBK,1.78
PT ALLO BANK INDONESIA TBK,1.77
PT PUNDI KENCANA,1.74
PT DUTA INTIDAYA TBK,1.71
SEMEN INDONESIA (PERSERO) TBK,1.68
PT PRODIA WIDYAHUSADA TBK,1.68
PELAT TIMAH NUSANTARA TBK,1.68
INDIKA ENERGY TBK,1.68
PT EASTPARC HOTEL TBK,1.68
PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK,1.68
HM SAMPOERNA TBK,1.68
ANEKA TAMBANG TBK,1.66
INDOFOOD CBP SUKSES MAKMUR TBK,1.65
PT ALAT BUMI PERMAI,1.62
PT GOTO GOJEK TOKOPEDIA TBK,1.62
PT DAYAMITRA TELEKOMUNIKASI TBK,1.58
DARMA HENWA TBK,1.58
PT MD ENTERTAINMENT TBK,1.57
PT BANK RAYA INDONESIA TBK,1.56
TEMPO SCAN PACIFIC TBK,1.56
SURYA TOTO INDONESIA TBK,1.55
PT COMMUNICATION CABLE SYSTEMS INDONESIA TBK,1.55
PT ACE OLDFIELDS TBK,1.55
PRASIDHA ANEKA NIAGA TBK,1.55
PT PROWELL ENERGI INDONESIA,1.55
BANK BUMI ARTA TBK,1.55
PT BANK CIMB NIAGA TBK,1.55
PT WASKITA KARYA (PERSERO) TBK,1.55
SIDOMULYO SELARAS TBK,1.54
PT SURYA PERTIWI TBK,1.49
KOKOH INTI AREBAMA TBK,1.49
BAYAN RESOURCES TBK,1.46
PT SOHO GLOBAL HEALTH TBK,1.44
PT SUNTER LAKESIDE HOTEL TBK,1.42
NUSANTARA INFRASTRUCTURE TBK,1.42
PT BANK KB INDONESIA TBK,1.42
PT IFISHDECO TBK,1.42
TOBA PULP LESTARI TBK,1.42
PT GOSYEN RETAIL INDONESIA,1.42
PT SOLUSI BANGUN INDONESIA TBK,1.42
SAMINDO RESOURCES TBK,1.42
PETROSEA TBK,1.4
PT BANK BTPN SYARIAH TBK,1.36
SARANA MEDITAMA METROPOLITAN TBK,1.36
PT BANK OCBC NISP TBK,1.34
PT DHARMA POLIMETAL TBK,1.34
PT PAM MINERAL TBK,1.33
TEMBAGA MULIA SEMANAN TBK,1.32
PT BANK INA PERDANA TBK,1.31
PT MULIA BOGA RAYA TBK,1.31
PT BANK IBK INDONESIA TBK,1.3
PT MANDALA MULTIFINANCE TBK,1.3
PT BANK OKE INDONESIA TBK,1.3
WINTERMAR OFFSHORE MARINE TBK,1.3
PT KENCANA ENERGI LESTARI TBK,1.3
PT SAMPOERNA AGRO TBK,1.3
PT KIRANA SOLUSI UTAMA,1.3
POLYCHEM INDONESIA TBK,1.28
NUSA KONSTRUKSI ENJINIRING TBK,1.28
ELANG MAHKOTA TEKNOLOGI TBK,1.28
INDOPOLY SWAKARSA INDUSTRY TBK,1.28
PT PANTAI INDAH KAPUK DUA TBK,1.26
PT CISARUA MOUNTAIN DAIRY TBK,1.25
PT WIJAYA KARYA BANGUNAN GEDUNG TBK,1.25
PT UNI-CHARM INDONESIA TBK,1.23
PT SENTRA USAHATAMA JAYA,1.23
ASURANSI HARTA AMAN PRATAMA TBK,1.22
BANK VICTORIA INTERNATIONAL TBK,1.2
PT MEGAPOWER MAKMUR TBK,1.2
WIJAYA KARYA BETON,1.2
PT MEDCO ENERGI INTERNASIONAL TBK,1.17
PT MITRA KELUARGA KARYASEHAT TBK,1.17
PT WOORI FINANCE INDONESIA TBK,1.17
PT AIRASIA INDONESIA TBK,1.17
MULTISTRADA ARAH SARANA TBK,1.17
PT INDONESIA KENDARAAN TERMINAL TBK,1.17
PT GUNUNG RAJA PAKSI TBK,1.17
PT BANK PEMBANGUNAN DAERAH BANTEN TBK,1.17
PT BANK WOORI SAUDARA INDONESIA 1906 TBK,1.17
INTANWIJAYA INTERNASIONAL TBK,1.17
ASTRA GRAPHIA TBK,1.15
PT ESTIKA TATA TIARA TBK,1.15
BAKRIE SUMATERA PLANTATIONS TBK,1.14
PT AGUNG PODOMORO LAND TBK,1.13
PT MEGALESTARI EPACK SENTOSARAYA TBK,1.13
PT MERDEKA COPPER GOLD TBK,1.12
PT SLJ GLOBAL TBK,1.12
PT ISPAT BUKIT BAJA,1.11
TIRA AUSTENITE TBK,1.11
PT KRIDA JARINGAN NUSANTARA TBK,1.11
PT BANK QNB INDONESIA TBK,1.11
LIPPO GENERAL INSURANCE TBK,1.11
ALKINDO NARATAMA TBK,1.11
PT WASKITA BETON PRECAST TBK,1.11
PT INOCYCLE TECHNOLOGY GROUP TBK,1.11
PT KARUNIA UNGGUL SEMESTA,1.09
PT IMPACK PRATAMA INDUSTRI TBK,1.09
SUPRA BOGA LESTARI TBK,1.09
PEMBANGUNAN GRAHA LESTARI INDAH TBK,1.08
PT AKR CORPORINDO TBK,1.08
PT ARITA PRIMA INDONESIA TBK,1.08
PT GS BATTERY,1.07
PT BANK PANIN DUBAI SYARIAH TBK,1.07
PT PAMAPERSADA NUSANTARA,1.06
RADIANT UTAMA INTERINSCO TBK,1.06
PT MITRA PINASTHIKA MUSTIKA TBK,1.06
PT HOTEL FITRA INTERNATIONAL TBK,1.06
PT AGUNG SEMESTA SEJAHTERA TBK,1.06
PT VICTORIA INSURANCE TBK,1.06
PT TOWER BERSAMA INFRASTRUCTURE TBK,1.06
KRAKATAU STEEL (PERSERO) TBK,1.05
PT ITAMA RANORAYA TBK,1.05
PT BLUE BIRD TBK,1.04
PT GRAHA LAYAR PRIMA TBK,1.04
JAYA AGRA WATTIE TBK,1.04
MERATUS JASA PRIMA TBK,1.04
PT KETROSDEN TRIASMITRA TBK,1.04
PT KOTA SATU PROPERTI TBK,1.04
PT GADING MURNI,1.04
PT TIKI JALUR NUGRAHA EKAKURIR,1.04
PT NUSATAMA BERKAH TBK,1.04
PT SATYAMITRA SURYA PERKASA,1.04
PT SARIMELATI KENCANA TBK,1.04
PT NATURA CITY DEVELOPMENTS TBK,1.04
EVER SHINE TEXTILE INDUSTRY TBK,1.04
ATLAS RESOURCES TBK,1.04
PT MAKMUR BERKAH AMANDA TBK,1.04
PT BANK MESTIKA DHARMA TBK,1.04
PT PERMA PLASINDO TBK,1.04
PT SARATOGA INVESTAMA SEDAYA TBK,1.04
PT TRIPUTRA AGRO PERSADA TBK,1.03
PT GARUDA METALINDO TBK,1.02
SURYA CITRA MEDIA TBK,1.02
PT TRANSKON JAYA TBK,1.02
ERAJAYA SWASEMBADA TBK,1.01
PT PERINTIS TRINITI PROPERTI TBK,1.0
MATAHARI PUTRA PRIMA TBK,0.99
PT DIAMOND FOOD INDONESIA TBK,0.99
BFI FINANCE INDONESIA TBK,0.99
