kodeEmiten,NamaEmiten,field,year,contextRef,id,name
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank5CounterpartyMember_ThirdPartyMember,IX02_1363_04290_00_0001,ARVEE INTERNATIONAL PTE LTD
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank3CounterpartyMember_ThirdPartyMember,IX02_1363_04286_00_0001,MEWAH MARKETING PTE LTD
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank2CounterpartyMember_ThirdPartyMember,IX02_1363_04284_00_0001,MMTC TRANSNATIONAL PTE LTD
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank1CounterpartyMember_RelatedPartyMember,IX02_1363_04281_00_0001,PT KREASIJAYA ADHIKARYA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank6CounterpartyMember_ThirdPartyMember,IX02_1363_04292_00_0001,PT SARI DUMAI SEJATI
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank2CounterpartyMember_RelatedPartyMember,IX02_1363_04283_00_0001,PT TJAHJA SAKTI MOTOR
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank4CounterpartyMember_ThirdPartyMember,IX02_1363_04288_00_0001,TRUMP ASIA PACIFIC CORP LTD
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank1CounterpartyMember_ThirdPartyMember,IX02_1363_04282_00_0001,WILMAR TRADING PTE LTD
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank2CounterpartyMember_RelatedPartyMember_1,IX02_1446_20418_00_0001,ASTRA INTERNATIONAL TBK
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank6CounterpartyMember_RelatedPartyMember_1,IX02_1446_20458_00_0001,PT ASURANSI ASTRA BUANA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank3CounterpartyMember_RelatedPartyMember_1,IX02_1446_20428_00_0001,PT BINA PERTIWI
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank7CounterpartyMember_RelatedPartyMember_1,IX02_1446_20468_00_0001,PT SERASI AUTORAYA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank8CounterpartyMember_RelatedPartyMember_1,IX02_1446_20478_00_0001,PT SERASI SHIPPING INDONESIA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank5CounterpartyMember_RelatedPartyMember_1,IX02_1446_20448_00_0001,PT SWADAYA HARAPAN NUSANTARA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank4CounterpartyMember_RelatedPartyMember_1,IX02_1446_20438_00_0001,PT TRAKTOR NUSANTARA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank9CounterpartyMember_RelatedPartyMember_1,IX02_1446_20488_00_0001,PT UNITED TRACTORS PANDU ENGINEERING
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank1CounterpartyMember_RelatedPartyMember_1,IX02_1446_20408_00_0001,UNITED TRACTORS TBK
AALI,ASTRA AGRO LESTARI TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty1Member,IX02_1373_00306_00_0001,ASTRA-KLK PTE LTD
AALI,ASTRA AGRO LESTARI TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty2Member,IX02_1373_00307_00_0001,PT KREASIJAYA ADHIKARYA
AALI,ASTRA AGRO LESTARI TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty3Member,IX02_1373_00308_00_0001,PT TJAHJA SAKTI MOTOR
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank5CounterpartyMember_ThirdPartyMember,IX02_1363_04290_00_0001,AGARWAL COAL CORPORATION PVT LTD
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank6CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00055_00_0001,CHINA BAI GUI INTERNATIONAL TRADE LTD
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank8CounterpartyMember_ThirdPartyMember,IX02_1363_04296_00_0001,PAN ASIA TRADELINK PTE LTD
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank5CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00053_00_0001,PT AMMAN MINERAL NUSA TENGGARA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank7CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00057_00_0001,PT BANGUN OLAHSARANA SUKSES
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank6CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00054_00_0001,PT BARA ENERGI LESTARI
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank3CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00049_00_0001,PT BERKAT MURAH REJEKI
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank10CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00043_00_0001,PT BERKAT NUSANTARA INDAH
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank1CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00045_00_0001,PT BINUANG MITRA BERSAMA BLOK DUA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00044_00_0001,PT BORNEO INDOBARA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank10CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00042_00_0001,PT BUNGO BARA MAKMUR
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank9CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00060_00_0001,PT BUNGO BARA UTAMA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank8CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00058_00_0001,PT CHAKRA JAWARA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank10CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00042_00_0001,PT CHITRA PARATAMA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank4CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00051_00_0001,PT DIZAMATRA POWERINDO
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank8CounterpartyMember_RelatedPartyMember,IX02_1363_04295_00_0001,PT ENERGI ALAMRAYA SEMESTA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank2CounterpartyMember_ThirdPartyMember,IXF1620300E02_1368_00047_00_0001,PT ENERGI BATUBARA LESTARI
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank9CounterpartyMember_ThirdPartyMember,IX02_1363_04298_00_0001,PT FREEPORT INDONESIA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank2CounterpartyMember_ThirdPartyMember,IX02_1363_04284_00_0001,PT INTI MURNI KENCANA
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank10CounterpartyMember_ThirdPartyMember,IX02_1363_04280_00_0001,PT KALTIM PRIMA COAL
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank4CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00050_00_0001,PT KUANSING INTI MAKMUR
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank3CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00048_00_0001,PT MIFA BERSAUDARA
