Alamat,Industri,SubIndustri,Email,Fax,KegiatanUsahaUtama,KodeEmiten,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Logo,NamaEmiten
"JL. PULOAYANG RAYA KAWASAN INDUSTRI PULO GADUNG, OR, 1, JATINEGARA, CAKUNG, KOTA ADM, JAKARTA TIMUR, DKI JAKARTA, 13930",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,Investor@astra-agro.co.id,"461-6655, 461-6677, 461-6688",AGRICULTURE PLANTATION,AALI,001.334.427.0-054.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AALI.jpg,ASTRA AGRO LESTARI TBK
"SAHID SUDIRMAN CENTRE LT. 10, JL. JEND. SUDIRMAN NO. 86, JAKARTA 10220",MEDIA,CONSUMER PUBLISHING,corsec@mahakax.com,(021) 573 9210,MEDIA DAN PERCETAKAN,ABBA,01.609.052.4-054.000,WATCHLIST,CONSUMER CYCLICALS,MEDIA & ENTERTAINMENT,2002-04-03T00:00:00,(021) 573 9203,www.mahakax.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ABBA.jpg,MAHAKA MEDIA TBK
PLAZA ASIA LT. 27 JL. JEND. SUDIRMAN KAV. 59 JAKARTA SELATAN,INSURANCE,GENERAL INSURANCE,contactus@oona-insurance.co.id,5140 1698,ASURANSI UMUM,ABDA,01.362.014.1-054.000,WATCHLIST,FINANCIALS,INSURANCE,1989-07-06T00:00:00,5140 1688,www.myoona.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ABDA.jpg,ASURANSI BINA DANA ARTA TBK
GEDUNG TMT 1 LANTAI 18 JL. CILANDAK KKO NO. 1 JAKARTA 12560,COAL,COAL PRODUCTION,corporate.secretary@abm-investama.co.id,021-29976768,AKTIVITAS KONSULTASI MANAJEMEN DAN LAINNYA SERTA AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN PERTAMBANGAN DAN ENERGI SERTA PERALATANNYA,ABMM,02.504.191.4-054.000,MAIN,ENERGY,"OIL, GAS & COAL",2011-12-06T00:00:00,021-29976767,www.abm-investama.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ABMM.jpg,ABM INVESTAMA TBK
"GEDUNG KAWAN LAMA, JL. PURI KENCANA NO. 1, KEMBANGAN SELATAN, KEMBANGAN, JAKARTA BARAT 11610",SPECIALTY RETAIL,HOME IMPROVEMENT RETAIL,corsec@ahi.id,021 - 5824022,PERDAGANGAN,ACES,01.721.123.6-054.000,MAIN,CONSUMER CYCLICALS,RETAILING,2007-11-06T00:00:00,021 - 5828282,https://ahi.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ACES.jpg,PT ASPIRASI HIDUP INDONESIA TBK
"ACSET BUILDING, JALAN MAJAPAHIT NO.26, KELURAHAN PETOJO SELATAN, KECAMATAN GAMBIR, JAKARTA 10160",HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,corporate.secretary@acset.co,(021) 3441413,JASA KONSTRUKSI UNTUK BANGUNAN KOMERSIAL DAN INFRASTRUKTUR,ACST,01.709.626.4-054.000,DEVELOPMENT,INFRASTRUCTURES,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,2013-06-24T00:00:00,(021) 3511961,www.acset.co,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ACST.jpg,PT ACSET INDONUSA TBK
"JL. PENGANTIN ALI NO. 88, CIRACAS KOTA JAKARTA TIMUR, DKI JAKARTA 13740",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corsec@adcp.co.id,(021) 228 220 81,PERHOTELAN DAN REAL ESTATE,ADCP,85.227.029.7-093.000,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,2021-05-21T00:00:00,(021) 228 229 80,www.adcp.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADCP.jpg,PT ADHI COMMUTER PROPERTI TBK
"JL. TB.SIMATUPANG KAV. 89 RT 01 RW 02, KELURAHAN TANJUNG BARAT, KECAMATAN JAGAKARSA, JAKARTA SELATAN - 12530",BEVERAGES,SOFT DRINKS,corporate.secretary@akashainternational.com,-,MINUMAN DAN MAKANAN RINGAN,ADES,01.371.491.0-054.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1994-06-13T00:00:00,081119345000,www.akashainternational.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADES.jpg,AKASHA WIRA INTERNATIONAL TBK
JALAN RAYA PASAR MINGGU KM. 18 JAKARTA 12510,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,adhi@adhi.co.id,021-7975311,KONSTRUKSI,ADHI,01.001.610.3-051.000,MAIN,INFRASTRUCTURES,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,2004-03-18T00:00:00,021-7975312,www.adhi.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADHI.jpg,PT ADHI KARYA (PERSERO) TBK
"MILLENNIUM CENTENNIAL CENTER LANTAI 53, 56-61, JL. JENDERAL SUDIRMAN KAV. 25 JAKARTA 12920",CONSUMER FINANCING,CONSUMER FINANCING,af.corsec@adira.co.id,021-3973 4949,PEMBIAYAAN,ADMF,01.346.494.6-091.000,DEVELOPMENT,FINANCIALS,FINANCING SERVICE,2004-03-31T00:00:00,"021-3973 3232, 021-3973 3322",www.adira.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADMF.jpg,ADIRA DINAMIKA MULTI FINANCE TBK
