kodeEmiten,NamaEmiten,field,year,contextRef,id,name,NamaPemilik,AlamatPemilik
ABMM,ABM INVESTAMA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty7Member,IXF1616000E02_1378_00018_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty7Member,IXF1616000E02_1378_00042_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank8CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00058_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank8CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00104_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank4CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00048_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank7CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00099_00_0001,UNITED TRACTORS TBK,SHANTOU MARIA INVESTMENT CO LTD,"Jalan Raya Bekasi Km. 22,, Jakarta Timur, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank3CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00090_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00012_00_0001,PT HOME CENTER INDONESIA RETAIL,PT HOME CENTER INDONESIA,"Jalan Puri Kencana Nomor 1, RT 005, RW 002, Kelurahan/Desa Kembangan Selatan, Kecamatan Kembangan, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty5Member,IXF1616000E02_1378_00016_00_0001,PT HOME CENTER INDONESIA,PT KAWAN LAMA SEJAHTERA,"Jl. Puri Kencana No. 1, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty6Member,IXF1616000E02_1378_00017_00_0001,PT TIGA DUA DELAPAN,PT KAWAN LAMA SEJAHTERA,"Gedung Kawan Lama, Jl. Puri Kencana No. 1, Kembangan Selatan, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty8Member,IXF1616000E02_1378_00019_00_0001,PT CITRA BUMI AGUNG,PT KAWAN LAMA SEJAHTERA BERKEDUDUKAN DI JAKARTA BARAT,"Jl.tanjung Duren Raya No. 15, Rt.001/rw.006,tanjung Duren,grogol Petamburan, Jakarta Barat, Provinsi Dki Jakarta"
